task,architecture,block,profile,epoch,test_acc,alignment,full_patch_max_error,noop_max_error,checkpoint_sha256,val_acc
single_shape,TinyCNN,5007,release_late,200,1.0,0.7452193389341168,0.0,0.0,bd322e6360de72cbf0bfa4a3e0518a259780232453156e167b40b32033f4f214,1.0
single_shape,TinyCNN,5007,retention_0p1,200,1.0,0.8495211009264765,0.0,0.0,fcc4c93f4325ec0284409887484db8579ff142d08e33d396b6bcf00c6bb2b5d1,1.0
single_shape,TinyCNN,5007,retention_1,200,1.0,0.9544119322476095,0.0,0.0,de2d8ea5fe1e14536754b952218d465a1fb4dc49748771b384a2262d7ddf807d,1.0
single_shape,TinyCNN,5007,template_init,200,1.0,0.6154913930968393,0.0,0.0,04ee4af8966dfa76994c0dc7e41d32f2c9afc125d46110bee13ec37fd7dc4b48,1.0
single_shape,TinyCNN,5008,release_default,200,1.0,0.6877504706496518,0.0,0.0,3dee786812e927245f431ad4ace1ef4c5f925ba55940405f3186451ce4ea4996,1.0
single_shape,TinyCNN,5008,release_early,200,1.0,0.6443352402477096,0.0,0.0,6740cebdc9421a47a430c872a8ccd5a370cbebe14540e502924a072da2c5a610,1.0
single_shape,TinyCNN,5008,release_late,200,1.0,0.7718091199737462,0.0,0.0,f2e6065f2607bb7edc288b2e86b546988cd764cfe9ae14e6e68cf275ad396e50,1.0
single_shape,TinyCNN,5008,retention_0p1,200,1.0,0.8603119112140033,0.0,0.0,9f2c34af5fff01fb88b4ef4b988fcf50b5428b44093d0f7a35e520885e3c4e48,1.0
single_shape,TinyCNN,5008,retention_1,200,1.0,0.9555600716711933,0.0,0.0,80c71dbed83c49ea967d0f92bb2e140d7531f2f6a5d35bc561b33c7e0863c2cd,1.0
single_shape,TinyCNN,5008,template_init,200,1.0,0.6219943764265328,0.0,0.0,0a293989bfe012c5b9a8f239cc77763c1781534beb07c05af582a01c27326ff0,1.0
single_shape,TinyCNN,5009,release_default,200,1.0,0.6890411560251708,0.0,0.0,cae9ca0bd4bdd3a63d05d772ab5a28bb3d6e50fccc7cb94d2e2c562e0efd37b2,1.0
single_shape,TinyCNN,5009,release_early,200,1.0,0.6313647441753812,0.0,0.0,2c233a2fba073f3ee6648bd8b94821212fa2ce7974e36347dec791801c163505,1.0
single_shape,TinyCNN,5009,release_late,200,1.0,0.7786967047656828,0.0,0.0,f2adccc672b71ff9e83d985dad74dda4962e134af82116336962e82050ea771d,1.0
single_shape,TinyCNN,5009,retention_0p1,200,1.0,0.8607255741647016,0.0,0.0,ee5b7470f227da83e6bcc078085b320cd5a69886590af50dd1b8d0242822e6ec,1.0
single_shape,TinyCNN,5009,retention_1,200,1.0,0.9586704499090749,0.0,0.0,35c1a5bae47373e468e8e62ae3e4463c831b8d04d53c4f9e0ec5e57402a0c6f0,1.0
single_shape,TinyCNN,5009,template_init,200,1.0,0.5990503019932186,0.0,0.0,3777a323a832daf33f2acefe3b9363f4ed5aab5766b67b9184bac8f2c9bcf81a,1.0
single_shape,TinyCNN,5010,release_default,200,1.0,0.6629220197988962,0.0,0.0,90743c0abe8721ff08ff52aacda233261fda344ff8fae36edf2c2d9ba5f8fc87,1.0
single_shape,TinyCNN,5010,release_early,200,1.0,0.6043526500178944,0.0,0.0,a314287dc7e8f8aef91c257fd31eb02be1e8aa20925c7a2bd03927658e31453d,1.0
single_shape,TinyCNN,5010,release_late,200,1.0,0.7674423487218008,0.0,0.0,efd714b838db699041a748fd705c58c8e483f5d15a6ecadccd19ccc360b5f832,1.0
single_shape,TinyCNN,5010,retention_0p1,200,1.0,0.8493045809469348,0.0,0.0,ce90d477589968e7b01ad5fbbdfd6dcadc391bdf5708b1c766148b668686e3bb,1.0
single_shape,TinyCNN,5010,retention_1,200,1.0,0.9568998046786503,0.0,0.0,5a2c44eda5c0218f34313b70cd01ea5945f4beb905a3e55d14cc49da3ad5fdc5,1.0
single_shape,TinyCNN,5010,template_init,200,1.0,0.5794861564304971,0.0,0.0,f09467576de4333942ee228089ac22a38750afd56f08d745e48ba6c23d3e5544,1.0
single_shape,TinyCNN,5011,release_default,200,1.0,0.7255097046278767,0.0,0.0,8d8a6a673a1cd804c129938eb4cd24c00ac72d6c04070ea540b2f72d1ffbbc9e,1.0
single_shape,TinyCNN,5011,release_early,200,1.0,0.691065356855719,0.0,0.0,360b554b7d3718195bf183bdbca3708dfdb168e8576739b5b1f5e73437690494,1.0
single_shape,TinyCNN,5011,release_late,200,1.0,0.7939360128692067,0.0,0.0,3f235ef9c0662cd04ceb92934b675b8e7047ad11fee7dd880c67bd834ebe4ac9,1.0
single_shape,TinyCNN,5011,retention_0p1,200,1.0,0.8767472958478271,0.0,0.0,b7d0b23e880c714e6b094d32d26ee2d95560361ad8c8e9b2f485dd4b8704d5c1,1.0
single_shape,TinyCNN,5011,retention_1,200,1.0,0.9632635519866254,0.0,0.0,283eb8576c6cca368b7cf58bc3ba8c40d72cd03a80671590c5744fea5e9bb3cd,1.0
single_shape,TinyCNN,5011,template_init,200,1.0,0.6580828072105394,0.0,0.0,028eaf0b8f6d6a78a69ccc6bd3410ad6fec6aa7ca638ec9e17f2abfe2dd0fffe,1.0
single_shape,TinyCNN,5012,release_default,200,1.0,0.6853942496620071,0.0,0.0,809e9739d21f7a3182a6e99f19a29cdcec2670de1965eecba8ba5a889ab9e11f,1.0
single_shape,TinyCNN,5012,release_early,200,1.0,0.6446933902715015,0.0,0.0,a0f22b3fcc3f748d363ffcbda9e95ac95d34d448cd66c628d22696594625c76f,1.0
single_shape,TinyCNN,5012,release_late,200,1.0,0.7727139255425638,0.0,0.0,6a1f424e08e2d2028c90224dc0919af3e762bc6e89c1f52b19c76726b9f1381b,1.0
single_shape,TinyCNN,5012,retention_0p1,200,1.0,0.8470784660120874,0.0,0.0,69007451067b0969eae75fe133f81cb28ad0d5cab32db27bcaf6071e298ed9bb,1.0
single_shape,TinyCNN,5012,retention_1,200,1.0,0.953955747572317,0.0,0.0,7bf1891d507b22a29288855dbe476367fca77a7a3f9118054709d57f22b88b9d,1.0
single_shape,TinyCNN,5012,template_init,200,1.0,0.6119755698468667,0.0,0.0,917febdc54499b600c65b94503bdb30647bc8d5c86c0fbba6e8812530cdcdd9b,1.0
single_shape,TinyCNN,5013,release_default,200,1.0,0.6900840128487988,0.0,0.0,109db8b63addac8778587d11f64766eaebd290d4c427dc5018fe8d5102b4a05f,1.0
single_shape,TinyCNN,5013,release_early,200,1.0,0.6359806268096095,0.0,0.0,4a83e3e60d5afeeda66dd819b581fffc0d002aa39dff2328eefb261a305d5fed,1.0
single_shape,TinyCNN,5013,release_late,200,1.0,0.7735828673397224,0.0,0.0,561cefa17f2e1c34cc4168e24e72d36bbdd44fa7d6d57f494e14c009e6d0cd71,1.0
single_shape,TinyCNN,5013,retention_0p1,200,1.0,0.869350481853937,0.0,0.0,2ed4790c894f3615b4884dd7e68b556ce6d286fc95b63dfe95acd247b8cbf26c,1.0
single_shape,TinyCNN,5013,retention_1,200,0.99609375,0.9623544188084648,0.0,0.0,07ff56742e2c271e914b96081842b98825ecfd87cd58cb4458b2fbf12b0471d2,1.0
single_shape,TinyCNN,5013,template_init,200,1.0,0.6184809881794199,0.0,0.0,8890beb924b2964a597c80b1673db95a2204d1e7a675178a53e1a77f636966c8,1.0
single_shape,TinyCNN,5014,release_default,200,1.0,0.6847862712571403,0.0,0.0,3d16f789a51eecdcbbe88e8471946e76d5806ec0ffef8263f093b63af2bfa808,1.0
single_shape,TinyCNN,5014,release_early,200,1.0,0.6399489619436122,0.0,0.0,c89824fb4c1e3c73a9fd22a53960da8d2f76b67e2eca600d59ca8c4f4845ede7,1.0
single_shape,TinyCNN,5014,release_late,200,1.0,0.7645869481973085,0.0,0.0,422ca007bc6d69d4da727c0b0ab8c68fe3f8399318d980c904b7b1ec0b1505c9,1.0
single_shape,TinyCNN,5014,retention_0p1,200,1.0,0.8592095435543519,0.0,0.0,6790cf1a5110d920fa42efc0d917fdeaaccedd74298da6e404271d7c7b4b273a,1.0
single_shape,TinyCNN,5014,retention_1,200,1.0,0.9523908088526971,0.0,0.0,67f635a16b6425832a6439cd472d26b56d72aa694d0d6f5134ed1ac87a14fc02,1.0
single_shape,TinyCNN,5014,template_init,200,1.0,0.6109894690016386,0.0,0.0,468ca7ecdd3be8d5aba19f635aa187fdaec3d475cb23e5950e2f0a424cf1cb35,1.0
single_shape,TinyCNN,5015,release_default,200,1.0,0.6595228261584691,0.0,0.0,990cedfbf74c04f60f8ded696c893d9076177e6e803cf03a63c1ebe549dbef84,1.0
single_shape,TinyCNN,5015,release_early,200,1.0,0.6055757747139502,0.0,0.0,eb5dd2276ff2449fe8b4828c1c4d10a60601fdf87706b9fa590a29a743731259,1.0
single_shape,TinyCNN,5015,release_late,200,1.0,0.7558105775358861,0.0,0.0,65585fa8a56de93a7281f4a513fb0254c1861f03f5116cb36273e6e6dbb8638f,1.0
single_shape,TinyCNN,5015,retention_0p1,200,1.0,0.8475612629507729,0.0,0.0,fc5717cac857175a79ef9b0a2cef7cd44a5344994bcbf269b728ebf2a1e51cc6,1.0
single_shape,TinyCNN,5015,retention_1,200,1.0,0.9572487766165833,0.0,0.0,f4acacc5623211decfe90a352960727b1e345d5908a1536cfc4d1a44f80dec50,1.0
single_shape,TinyCNN,5015,template_init,200,1.0,0.5729597085234098,0.0,0.0,7c9f930b802d1ce639871297e6057c858b5042c612eb29a9c27943f26c883943,1.0
single_shape,TinyCNN,5016,release_default,200,1.0,0.6777915419060332,0.0,0.0,a693d922b8a015274014be90cfe08d99fca0f6e33fb6555e752f207d3525ec16,1.0
single_shape,TinyCNN,5016,release_early,200,1.0,0.6406296907764775,0.0,0.0,ec2eb4486bbddcc97cc16bf459bd5ccc3af5ab1254a52a5685fe642829647b79,1.0
single_shape,TinyCNN,5016,release_late,200,1.0,0.7513750148868715,0.0,0.0,3e2d8424b6b055e4e5357815cf301471f6ab90331d05cd62ee0a9a95d9be8d6a,1.0
single_shape,TinyCNN,5016,retention_0p1,200,1.0,0.8495969346008072,0.0,0.0,7117315e3817ec33619588b019ad37f772d1736dc11fb022e652171b8e94377b,1.0
single_shape,TinyCNN,5016,retention_1,200,1.0,0.9507830410498307,0.0,0.0,8c86ea7cc8351ecd0299d2584fb551edc80e7d2c8f94abbc1cd142f82dfa0b23,1.0
single_shape,TinyCNN,5016,template_init,200,1.0,0.6063663834768852,0.0,0.0,adca0fcd9499f50925be72218ad4aa095de722a66f5067c994123bb1ae64285b,1.0
single_shape,TinyCNN,5017,release_default,200,1.0,0.7226876650631509,0.0,0.0,2dcd12dcf9bfbe0c1f47c0f50e635e28ab77582068341a95deb6815a6c14c15c,1.0
single_shape,TinyCNN,5017,release_early,200,1.0,0.672659283265516,0.0,0.0,a2a162b1556368e69418d2216d5b91453c44b7f5404a49446d11f7ebdb37c5f0,1.0
single_shape,TinyCNN,5017,release_late,200,1.0,0.8025242936257103,0.0,0.0,adaca2c27677f76a3af9cf44a2beeb916ac466f796f805a8ebbd35051c156404,1.0
single_shape,TinyCNN,5017,retention_0p1,200,1.0,0.8795579711215546,0.0,0.0,5df679c2c7252c04471f7871a6eda4d53657cad5be9590d0ff1e8a6a7a8cc03c,1.0
single_shape,TinyCNN,5017,retention_1,200,1.0,0.9637106901865444,0.0,0.0,8e3cf8c697af531790889e765cf67b7dc9206d64eae01a7bc3c354074e78fb5f,1.0
single_shape,TinyCNN,5017,template_init,200,0.99609375,0.6292549059490813,0.0,0.0,fcc06b69c2c1c62e7f7fcd96667feabb754433adccb8e6d7b1c9d9ea60d37e75,1.0
single_shape,TinyCNN,5018,release_default,200,1.0,0.6720792083979122,0.0,0.0,92cb7041c5caab7e007d38370f2f4b7a862c6e429d9c92d2ba5935b13cf9cc5a,1.0
single_shape,TinyCNN,5018,release_early,200,1.0,0.6276327323210906,0.0,0.0,59752254c74eeaf3b436022cf7ed5bdd4098a8fe67a30d4bafe7cebe2e39e37d,1.0
single_shape,TinyCNN,5018,release_late,200,1.0,0.7695185670388456,0.0,0.0,9be7129856c9be368741fd5ba22c8fa49ffaf91688e945c2b87ba529e226c268,1.0
single_shape,TinyCNN,5018,retention_0p1,200,1.0,0.8528336551574958,0.0,0.0,73e584b66f0cf9ae4a44922027da4593f2109fad778ae11fbe6eac7f726e459c,1.0
single_shape,TinyCNN,5018,retention_1,200,1.0,0.9549064790547502,0.0,0.0,6538ba31b271f80abe945e2572c5ab20dfed5c06161f5494dcc132a559012bd4,1.0
single_shape,TinyCNN,5018,template_init,200,1.0,0.6045345860386332,0.0,0.0,0cd8270626b0a529bdaf149dd33adac1e12eef7c817b314947c451c69d5fe838,1.0
single_shape,TinyCNN,5019,release_default,200,1.0,0.6717097539507241,0.0,0.0,8248e23fe3122ba7a796f4b7bbe34f2058c3b036814daa975dc35883e867a707,1.0
single_shape,TinyCNN,5019,release_early,200,1.0,0.6229937992652395,0.0,0.0,aeea7bc1e95a7948fa26aa654c6e13d440100413da08a64bce01966336344556,1.0
single_shape,TinyCNN,5019,release_late,200,1.0,0.7698156495933757,0.0,0.0,d03a4b16c7b5daceee134452c53b0e6e829386fe76777cff1aae2f5cbf7946f8,1.0
single_shape,TinyCNN,5019,retention_0p1,200,0.99609375,0.8610301233867145,0.0,0.0,0b105bc3751b75dec15df949402bb505ea61b48af0f0e9240a7bc53211561043,1.0
single_shape,TinyCNN,5019,retention_1,200,0.99609375,0.9514947334369471,0.0,0.0,6792a0f0dabddc527484d2f9572a0573f0ca096155892d7a31f017d6989ba019,1.0
single_shape,TinyCNN,5019,template_init,200,1.0,0.6007385805649708,0.0,0.0,804f1730ef9b72258f0c8b87dfe9794507dcd520f2bf13eada90ee5b9c245417,1.0
single_shape,TinyCNN,5020,release_default,200,1.0,0.6949816679931347,0.0,0.0,a5d4a39446a4e344885b98a8f0a0314a252b8f9d092853e1a0cfe17d87d6bffc,1.0
single_shape,TinyCNN,5020,release_early,200,1.0,0.6362660930926773,0.0,0.0,ae8cc97c21c286ac59f21dfaa71beb59feed010337d4d32570b09f75c908558c,1.0
single_shape,TinyCNN,5020,release_late,200,1.0,0.7824488841146322,0.0,0.0,d9cb61a471c9b694b2c9ed7f31ce14e84499aa7de94dd717f576d63d57441f48,1.0
single_shape,TinyCNN,5020,retention_0p1,200,1.0,0.8720792531611377,0.0,0.0,8979c7a8eda2d2a0908b7723d044b3b404c79170bf775363b80a1f819e6e5a46,1.0
single_shape,TinyCNN,5020,retention_1,200,1.0,0.9631564640024569,0.0,0.0,ba15413c53da918c1a06be963e20e2bfe7ee103288cd085c8277810d5b30f991,1.0
single_shape,TinyCNN,5020,template_init,200,1.0,0.6160306993253559,0.0,0.0,8e6307b6cf4aca4d3fc06e88b7425439750154117796cf6bfc5c4f1d9f33fe83,1.0
single_shape,TinyCNN,5021,release_default,200,1.0,0.6636437259862782,0.0,0.0,5301d5c8d34fa44a2fccdc6b9c92c6e3f4177f18e4f8ac2a95a7dc3fce486654,1.0
single_shape,TinyCNN,5021,release_early,200,1.0,0.6134469320860834,0.0,0.0,568b0cff43271cfbc50027aef7bd7a0135f326dcba2cd36670b9d1370b153791,1.0
single_shape,TinyCNN,5021,release_late,200,1.0,0.7561663956889298,0.0,0.0,8b075a1ac1d1a42e04a2c99ce0ac135c6db7b51f3fee61399a8ad52ef113943e,1.0
single_shape,TinyCNN,5021,retention_0p1,200,1.0,0.8542016840957732,0.0,0.0,aa329a6606e59c67a61b68c992499bb30ddf265c5ffd292740beec178f568d55,1.0
single_shape,TinyCNN,5021,retention_1,200,1.0,0.9568331294177392,0.0,0.0,0738e6c47f5fdce3698c0ddcfb424713a5ffd4d8eb0f1504e0e88a8806e0d9aa,1.0
single_shape,TinyCNN,5021,template_init,200,1.0,0.5930735569688561,0.0,0.0,0c46d28f36eff0722a851adc8585b51e453d208c6b2d26b348853a31e7a2622b,1.0
single_shape,TinyCNN,5022,release_default,200,1.0,0.6579617010926974,0.0,0.0,318b2df81ae523244b2449de7285574534610dcceba6473305e1cace076a38d5,1.0
single_shape,TinyCNN,5022,release_early,200,1.0,0.6154251805642093,0.0,0.0,8d6d756385f23ba50f61e94af984ac1707f8159f0e65c2f1e83f5bd54b5b51e7,1.0
single_shape,TinyCNN,5022,release_late,200,1.0,0.7511430436474744,0.0,0.0,acb898189753e801276ace21fc0e941d01e359e8d187a40473be1fd2255e3e4e,1.0
single_shape,TinyCNN,5022,retention_0p1,200,1.0,0.8541733337498145,0.0,0.0,5be649b08f536a1ed26a92b0103d8af2ca46784326cba7784fec7fb4cd68d9a8,1.0
single_shape,TinyCNN,5022,retention_1,200,1.0,0.9554388429543106,0.0,0.0,2760495c4f11cb6e2b7bc8872f4d836f3b39380678b4a7c83e7ae34f8f1ae140,1.0
single_shape,TinyCNN,5022,template_init,200,1.0,0.5918029792793302,0.0,0.0,c32d8bda1ae3cbb00ac1b38c38260ce4e437df659869ed045cd8a38efd88ad98,1.0
single_shape,TinyCNN,5023,release_default,200,1.0,0.6697666939198416,0.0,0.0,dc5105572c6c830fbfb1eb71b06d2a2235f8a3c1bdf89a3d7329d2a745ba1320,1.0
single_shape,TinyCNN,5023,release_early,200,1.0,0.6184937110679161,0.0,0.0,7d0fe9ca219d8c051cf5198107cd3fa988230ceb233465d9bbdecaf2bf42ff43,1.0
single_shape,TinyCNN,5023,release_late,200,1.0,0.7580987771848967,0.0,0.0,6f474eda8dd2430bae49d10df564ee5035c2282a7e3da4a1b84af9fabb1cab65,1.0
single_shape,TinyCNN,5023,retention_0p1,200,1.0,0.8571430593427614,0.0,0.0,58d84485bd79c5b0db45c1c0870c19e228873d092b5427558ae0648cb2d66ffc,1.0
single_shape,TinyCNN,5023,retention_1,200,1.0,0.9563886216141964,0.0,0.0,a186bec36653e906cdd80ff7735f46662b331c8d1824a74867ea316e1472dd1a,1.0
single_shape,TinyCNN,5023,template_init,200,1.0,0.5807161084520432,0.0,0.0,a824b039c0696559fa8fec605643a9904ee6587bf83894e2998155e506081e60,1.0
single_shape,TinyCNN,5024,release_default,200,1.0,0.6544504656722752,0.0,0.0,7240cfd1e1fe4f1ecb7beb87c89fdcf171987361987e5a90a8f3790c533105c7,1.0
single_shape,TinyCNN,5024,release_early,200,1.0,0.612196153321643,0.0,0.0,095349db35edaf84bfe3a6a8a99adc1855e747f52b2c651f308818b3707f6f49,1.0
single_shape,TinyCNN,5024,release_late,200,1.0,0.7533743784196737,0.0,0.0,20752ef62e04ea3897cfea724b075bdcdbf00de96bc5a674b7c59b35e4e3fec9,1.0
single_shape,TinyCNN,5024,retention_0p1,200,1.0,0.8429974793968751,0.0,0.0,b74e4abed5d41ad171a5ff2f20476797442e1fa12b54af50e4ca1c42a98762f5,1.0
single_shape,TinyCNN,5024,retention_1,200,1.0,0.947486910182515,0.0,0.0,22b08443ca88e3ab9c2be61aaee54cea865b37fe45108ef237eacf899df9c0f1,1.0
single_shape,TinyCNN,5024,template_init,200,1.0,0.6017886509889265,0.0,0.0,a276d2bd16a01d36ef11f36a78b6ef4986102fabccac4e703f65cba0f21d7637,1.0
single_shape,TinyCNN,5025,release_default,200,1.0,0.7042758708642256,0.0,0.0,0031311de9d9d382b6f4eb648936479f046b5bfc7561bb3ab89e8c1bf5f485e8,1.0
single_shape,TinyCNN,5025,release_early,200,1.0,0.6636944116788097,0.0,0.0,35560dbc2d2741adc417a71e143440a270cbd390ef68ebf1bc63882e94889a5c,1.0
single_shape,TinyCNN,5025,release_late,200,1.0,0.7744457191244647,0.0,0.0,498146f7975d5fdeb7dd10dd3a41810469eafc891b084d5e0e7833032432c63e,1.0
single_shape,TinyCNN,5025,retention_0p1,200,1.0,0.864151737247487,0.0,0.0,133c70269d987c8879c35b6866a45f694d34f58cdd4ac4069aaf928bdc7baf78,1.0
