task,architecture,profile,method,k,n_matches,mean_relative_energy_error,median_relative_energy_error,max_relative_energy_error
two_concepts,TwoLayerCNN,release_late,validation_patch,4,800,0.0032624793806700614,0.000555298205008223,0.07475138111369296
two_concepts,TwoLayerCNN,release_late,validation_patch,8,800,0.00019625479300398646,5.363234022630718e-05,0.00609154251407182
two_concepts,TwoLayerCNN,retention_0p1,contrast,1,800,0.46753746221561826,0.2765285051986175,2.1581575605965844
two_concepts,TwoLayerCNN,retention_0p1,contrast,2,800,0.14065398319288566,0.0366933515766769,0.8249554269104886
two_concepts,TwoLayerCNN,retention_0p1,contrast,4,800,0.014082187092002414,0.0011216520947585262,0.14459182078512678
two_concepts,TwoLayerCNN,retention_0p1,contrast,8,800,9.17020190440664e-05,4.8011581119023004e-05,0.001361548213450871
two_concepts,TwoLayerCNN,retention_0p1,auroc,1,800,0.4655380017642588,0.27542216910087075,2.1581575605965844
two_concepts,TwoLayerCNN,retention_0p1,auroc,2,800,0.13905113496613317,0.036018412694044655,0.7076830332328121
two_concepts,TwoLayerCNN,retention_0p1,auroc,4,800,0.013545841488559396,0.0011573002725003756,0.14297122044997893
two_concepts,TwoLayerCNN,retention_0p1,auroc,8,800,9.349834095655592e-05,4.658119465202915e-05,0.001361548213450871
two_concepts,TwoLayerCNN,retention_0p1,validation_patch,1,800,0.18535928153551137,0.1427077255341896,1.183386404057676
two_concepts,TwoLayerCNN,retention_0p1,validation_patch,2,800,0.030698991672725315,0.0160978856873465,0.23566770881559573
two_concepts,TwoLayerCNN,retention_0p1,validation_patch,4,800,0.003149300846095757,0.0005999574597648149,0.10112894698930026
two_concepts,TwoLayerCNN,retention_0p1,validation_patch,8,800,0.0004894784900636144,5.976755938588196e-05,0.019666405659013866
two_concepts,TwoLayerCNN,retention_1,contrast,1,800,0.5913478186039345,0.316280819008322,2.009113361295249
two_concepts,TwoLayerCNN,retention_1,contrast,2,800,0.17223560534755947,0.10548226708610516,0.6335760316677318
two_concepts,TwoLayerCNN,retention_1,contrast,4,800,0.05442004576152893,0.00959936318703548,0.18871401631606272
two_concepts,TwoLayerCNN,retention_1,contrast,8,800,6.220024969389105e-05,5.2143157458870695e-05,0.0002649486782353741
two_concepts,TwoLayerCNN,retention_1,auroc,1,800,0.5848785663974155,0.31411950081106466,2.009113361295249
two_concepts,TwoLayerCNN,retention_1,auroc,2,800,0.17933941288500926,0.11701228114855422,0.6335760316677318
two_concepts,TwoLayerCNN,retention_1,auroc,4,800,0.05327877871139533,0.007005164796786746,0.18871401631606272
two_concepts,TwoLayerCNN,retention_1,auroc,8,800,5.5255970678995684e-05,4.58513370027591e-05,0.0002607895372277608
two_concepts,TwoLayerCNN,retention_1,validation_patch,1,800,0.18355152110806455,0.1371673915366654,1.7313564652511704
two_concepts,TwoLayerCNN,retention_1,validation_patch,2,800,0.021448064136421703,0.01151955981204571,0.19774525188806374
two_concepts,TwoLayerCNN,retention_1,validation_patch,4,800,0.0014777175608062527,0.0006165507545211437,0.03114420602784969
two_concepts,TwoLayerCNN,retention_1,validation_patch,8,800,0.0006061883159815712,5.8441862522720786e-05,0.017127271879359036
two_concepts,TwoLayerCNN,template_init,contrast,1,800,0.16628324235267564,0.12468548313276757,1.38414388380945
two_concepts,TwoLayerCNN,template_init,contrast,2,800,0.01551863061142431,0.008769572487048526,0.20241585606336898
two_concepts,TwoLayerCNN,template_init,contrast,4,800,0.001666491590755523,0.0004301517182169046,0.08498113643146804
two_concepts,TwoLayerCNN,template_init,contrast,8,800,6.806383045776564e-05,3.7790441863512273e-05,0.0009963527213831885
two_concepts,TwoLayerCNN,template_init,auroc,1,800,0.1613927254670265,0.11931187234193885,1.38414388380945
two_concepts,TwoLayerCNN,template_init,auroc,2,800,0.015034981215701562,0.008868335973018513,0.20241585606336898
two_concepts,TwoLayerCNN,template_init,auroc,4,800,0.0016567945624366448,0.00044029834098120095,0.08498113643146804
two_concepts,TwoLayerCNN,template_init,auroc,8,800,7.347349458718561e-05,3.827572253319772e-05,0.0010215180854752676
two_concepts,TwoLayerCNN,template_init,validation_patch,1,800,0.16352300493271288,0.13112325867057711,0.9224908067051713
two_concepts,TwoLayerCNN,template_init,validation_patch,2,800,0.01556299690833602,0.010252070376956229,0.1910989441436676
two_concepts,TwoLayerCNN,template_init,validation_patch,4,800,0.0016417819406030249,0.0004913163781478524,0.07806553878039912
two_concepts,TwoLayerCNN,template_init,validation_patch,8,800,0.00023576687762280702,4.746375377612552e-05,0.018472994525100473
