task,architecture,profile,method,t_stat,p_two_sided,n,mean,sd,ci_low,ci_high,p_holm_within_setting
single_shape,TwoLayerCNN,retention_0p1,validation_patch,-0.4018353586218664,0.6895525746223404,50,-0.0034347482409426977,0.060441016966966944,-0.02061189520591876,0.013742398724033364,0.6895525746223404
single_shape,TwoLayerCNN,release_early,validation_patch,-1.7639839061558507,0.08396841740091845,50,-0.017319793925132297,0.06942775209272563,-0.037050942754022,0.0024113549037574032,0.1679368348018369
single_shape,TwoLayerCNN,release_default,validation_patch,-2.720105725706293,0.009005305102343155,50,-0.022531881765049677,0.058572893834202645,-0.039178114010015294,-0.005885649520084062,0.03602122040937262
single_shape,TwoLayerCNN,release_late,validation_patch,-3.175397739566874,0.0025876983547313236,50,-0.01977756301476329,0.04404125111265879,-0.03229394809307873,-0.007261177936447849,0.012938491773656618
two_concepts,TinyCNN,template_init,contrast,25.162642250767696,1.1214228025899827e-29,50,0.34556895548309136,0.09710989384757118,0.3179706290140875,0.3731672819520952,5.607114012949913e-29
two_concepts,TinyCNN,retention_0p1,contrast,12.731551520552282,3.7125106937166854e-17,50,0.1662628848044848,0.09234193736333332,0.14001959657544183,0.1925061730335278,3.7125106937166854e-17
two_concepts,TinyCNN,release_early,contrast,16.919748596288617,4.2157258868572453e-22,50,0.3224473572915073,0.13475656072485598,0.28414996647608387,0.36074474810693075,1.2647177660571736e-21
two_concepts,TinyCNN,release_default,contrast,17.804834008857313,4.883087888947747e-23,50,0.28619381253432746,0.11365991139034622,0.2538920231212678,0.31849560194738713,1.9532351555790987e-22
two_concepts,TinyCNN,release_late,contrast,13.353774727545801,5.984955591573221e-18,50,0.19342474861844042,0.10242194000417955,0.1643167553354803,0.22253274190140054,1.1969911183146443e-17
two_concepts,TinyCNN,template_init,auroc,22.459840724883573,1.8985561109448575e-27,50,0.3340609321814058,0.1051729410588667,0.30417111304923816,0.36395075131357346,9.492780554724287e-27
two_concepts,TinyCNN,retention_0p1,auroc,12.746200802185943,3.5543596799011956e-17,50,0.1621013324142774,0.08992715019039453,0.13654431910647505,0.18765834572207976,3.5543596799011956e-17
two_concepts,TinyCNN,release_early,auroc,17.458644043779277,1.1239523281092976e-22,50,0.31202408203857673,0.12637541824538195,0.2761085855612815,0.347939578515872,3.371856984327893e-22
two_concepts,TinyCNN,release_default,auroc,17.80961878972397,4.827551521845701e-23,50,0.267378313393728,0.10615893623282728,0.23720827753358675,0.2975483492538692,1.9310206087382805e-22
two_concepts,TinyCNN,release_late,auroc,15.825246841367257,6.792780283850536e-21,50,0.19347098907568647,0.08644708655076297,0.16890299891119243,0.2180389792401805,1.3585560567701072e-20
two_concepts,TinyCNN,template_init,validation_patch,30.454676028076232,1.6917231305202533e-33,50,0.3232909689094201,0.0750627707224573,0.3019583655053008,0.3446235723135394,5.07516939156076e-33
two_concepts,TinyCNN,retention_0p1,validation_patch,20.45373665810457,1.205403956212094e-25,50,0.16104910263666894,0.055676336545221736,0.14522606286499493,0.17687214240834295,1.205403956212094e-25
two_concepts,TinyCNN,release_early,validation_patch,32.98953370129855,4.0233247515079774e-35,50,0.27782318346196694,0.05954938883815091,0.26089943440747193,0.29474693251646195,2.011662375753989e-34
two_concepts,TinyCNN,release_default,validation_patch,32.54894416750199,7.559037521286956e-35,50,0.2305055919219857,0.05007599211534245,0.2162741524269764,0.244737031416995,3.0236150085147823e-34
two_concepts,TinyCNN,release_late,validation_patch,26.055189285662937,2.2834446844327436e-30,50,0.16030127211439862,0.04350385456892192,0.14793761344396747,0.17266493078482978,4.566889368865487e-30
two_concepts,TwoLayerCNN,template_init,contrast,-0.4450171701259686,0.6582670700402302,50,-0.005827046562752284,0.09258843063618376,-0.0321403874048402,0.020486294279335637,0.6582670700402302
two_concepts,TwoLayerCNN,retention_0p1,contrast,-1.1513053627659902,0.25519362921921984,50,-0.014132850066962816,0.08680089959655114,-0.038801392786503214,0.010535692652577585,0.5103872584384397
two_concepts,TwoLayerCNN,release_early,contrast,-3.1368104895675106,0.0028877032557546377,50,-0.04199140704391331,0.09465796155383782,-0.06889290206514971,-0.01508991202267691,0.01155081302301855
two_concepts,TwoLayerCNN,release_default,contrast,-2.954607150304674,0.004800266091717658,50,-0.04155963950197785,0.09946196370805677,-0.06982641682923799,-0.013292862174717712,0.014400798275152973
