task,architecture,profile,method,k,metric,n,mean,sd,ci_low,ci_high
two_concepts,TwoLayerCNN,release_early,auroc,6,fidelity,50,0.333862690710545,0.11008847925229878,0.3025758910807348,0.36514949034035515
two_concepts,TwoLayerCNN,release_early,auroc,6,cf_accuracy,50,0.2280078125,0.10269738066511691,0.1988215398473258,0.25719408515267417
two_concepts,TwoLayerCNN,release_early,auroc,6,causal_usefulness_random,50,0.03665930798734882,0.11474780979029682,0.004048341269924344,0.0692702747047733
two_concepts,TwoLayerCNN,release_early,auroc,7,fidelity,50,0.47021836765294417,0.13297371184329465,0.43242765688348456,0.5080090784224038
two_concepts,TwoLayerCNN,release_early,auroc,7,cf_accuracy,50,0.3576171875,0.13224519279775818,0.3200335195524506,0.3952008554475494
two_concepts,TwoLayerCNN,release_early,auroc,7,causal_usefulness_random,50,0.02301430818857358,0.13269638245435297,-0.014697586440612278,0.060726202817759437
two_concepts,TwoLayerCNN,release_early,auroc,8,fidelity,50,0.6018791462765605,0.12981983028865082,0.5649847587275366,0.6387735338255843
two_concepts,TwoLayerCNN,release_early,auroc,8,cf_accuracy,50,0.496640625,0.14344233952781293,0.45587476316124476,0.5374064868387552
two_concepts,TwoLayerCNN,release_early,auroc,8,causal_usefulness_random,50,0.0004938082151338286,0.13628446315695786,-0.03823780766699725,0.0392254240972649
two_concepts,TwoLayerCNN,release_early,auroc,8,causal_usefulness_energy,50,-0.006563205588419735,0.11114705529793771,-0.03815084920170363,0.02502443802486416
two_concepts,TwoLayerCNN,release_early,auroc,9,fidelity,50,0.7337345463108339,0.11625501654771749,0.7006952361723685,0.7667738564492993
two_concepts,TwoLayerCNN,release_early,auroc,9,cf_accuracy,50,0.6497265625,0.14074597196276853,0.6097269998444911,0.689726125155509
two_concepts,TwoLayerCNN,release_early,auroc,9,causal_usefulness_random,50,-0.009484581256961893,0.11932208317300351,-0.04339554208592943,0.024426379572005642
two_concepts,TwoLayerCNN,release_early,auroc,10,fidelity,50,0.8557701874758225,0.0841697285136397,0.8318494153043168,0.8796909596473281
two_concepts,TwoLayerCNN,release_early,auroc,10,cf_accuracy,50,0.7998828125,0.10937016690533424,0.768800154980461,0.8309654700195391
two_concepts,TwoLayerCNN,release_early,auroc,10,causal_usefulness_random,50,0.0016012096227597937,0.08734869962198602,-0.023223016141449677,0.026425435386969266
two_concepts,TwoLayerCNN,release_early,auroc,11,fidelity,50,0.9279647460978977,0.04567935402162612,0.9149828173238753,0.9409466748719201
two_concepts,TwoLayerCNN,release_early,auroc,11,cf_accuracy,50,0.8959375,0.06028986453348159,0.8788033100813211,0.913071689918679
two_concepts,TwoLayerCNN,release_early,auroc,11,causal_usefulness_random,50,0.0003545852117937809,0.05121069701694779,-0.014199333848167333,0.014908504271754896
two_concepts,TwoLayerCNN,release_early,auroc,12,fidelity,50,0.9723088432083046,0.019074025902762047,0.9668880650250955,0.9777296213915136
two_concepts,TwoLayerCNN,release_early,auroc,12,cf_accuracy,50,0.9559765625,0.0294445417563573,0.9476085163213305,0.9643446086786694
two_concepts,TwoLayerCNN,release_early,auroc,12,causal_usefulness_random,50,0.003909256067520355,0.02073046059506128,-0.001982275646574198,0.009800787781614907
two_concepts,TwoLayerCNN,release_early,auroc,13,fidelity,50,0.9896247302479132,0.008616556818693397,0.9871759318948402,0.9920735286009862
two_concepts,TwoLayerCNN,release_early,auroc,13,cf_accuracy,50,0.9784375,0.015118339988302726,0.974140915315009,0.9827340846849909
two_concepts,TwoLayerCNN,release_early,auroc,13,causal_usefulness_random,50,0.000965961292352564,0.009976823628024172,-0.0018694206105674045,0.0038013431952725325
two_concepts,TwoLayerCNN,release_early,auroc,14,fidelity,50,0.996491454612061,0.0025165839288247677,0.9957762493728979,0.9972066598512241
two_concepts,TwoLayerCNN,release_early,auroc,14,cf_accuracy,50,0.98734375,0.009999900350268803,0.984501809765183,0.990185690234817
two_concepts,TwoLayerCNN,release_early,auroc,14,causal_usefulness_random,50,-0.00015658655978889602,0.00264532157673011,-0.0009083786336705992,0.0005952055140928072
two_concepts,TwoLayerCNN,release_early,auroc,15,fidelity,50,0.9991233356311576,0.0009630050175594466,0.9988496526333406,0.9993970186289747
two_concepts,TwoLayerCNN,release_early,auroc,15,cf_accuracy,50,0.9914453125,0.00881352003816691,0.9889405378193044,0.9939500871806957
two_concepts,TwoLayerCNN,release_early,auroc,15,causal_usefulness_random,50,-3.965440322237335e-05,0.000655997874195857,-0.0002260869362807193,0.00014677812983597262
two_concepts,TwoLayerCNN,release_early,auroc,16,fidelity,50,1.0,0.0,1.0,1.0
two_concepts,TwoLayerCNN,release_early,auroc,16,cf_accuracy,50,0.99296875,0.007812499999999999,0.9907484620664395,0.9951890379335604
two_concepts,TwoLayerCNN,release_early,auroc,16,causal_usefulness_random,50,0.0,0.0,0.0,0.0
two_concepts,TwoLayerCNN,release_early,validation_patch,1,fidelity,50,0.013527710578156634,0.0067698692381515735,0.011603735028556683,0.015451686127756584
