task,architecture,profile,method,k,metric,block,delta
single_shape,TinyCNN,template_init,contrast,4,fidelity,5035,-0.2994014067502757
single_shape,TinyCNN,template_init,contrast,4,fidelity,5036,-0.2089936633394338
single_shape,TinyCNN,template_init,contrast,4,fidelity,5037,-0.12570497437309558
single_shape,TinyCNN,template_init,contrast,4,fidelity,5038,-0.19914360972622613
single_shape,TinyCNN,template_init,contrast,4,fidelity,5039,-0.12883416724134333
single_shape,TinyCNN,template_init,contrast,4,fidelity,5040,-0.2528763067560966
single_shape,TinyCNN,template_init,contrast,4,fidelity,5041,-0.14690001702840694
single_shape,TinyCNN,template_init,contrast,4,fidelity,5042,-0.2092715055576796
single_shape,TinyCNN,template_init,contrast,4,fidelity,5043,-0.2550588022733614
single_shape,TinyCNN,template_init,contrast,4,fidelity,5044,-0.08805106312305178
single_shape,TinyCNN,template_init,contrast,4,fidelity,5045,-0.08530139342117193
single_shape,TinyCNN,template_init,contrast,4,fidelity,5046,-0.1436521963564975
single_shape,TinyCNN,template_init,contrast,4,fidelity,5047,-0.11087707866778218
single_shape,TinyCNN,template_init,contrast,4,fidelity,5048,-0.24949117529180087
single_shape,TinyCNN,template_init,contrast,4,fidelity,5049,-0.27298658775985074
single_shape,TinyCNN,template_init,contrast,5,fidelity,5000,-0.14468003888208913
single_shape,TinyCNN,template_init,contrast,5,fidelity,5001,-0.003605393064775253
single_shape,TinyCNN,template_init,contrast,5,fidelity,5002,-0.13652206029356018
single_shape,TinyCNN,template_init,contrast,5,fidelity,5003,-0.1873715228490136
single_shape,TinyCNN,template_init,contrast,5,fidelity,5004,-0.17117046701771688
single_shape,TinyCNN,template_init,contrast,5,fidelity,5005,-0.10091132636897515
single_shape,TinyCNN,template_init,contrast,5,fidelity,5006,-0.10424787005079927
single_shape,TinyCNN,template_init,contrast,5,fidelity,5007,-0.023627823021654226
single_shape,TinyCNN,template_init,contrast,5,fidelity,5008,-0.059038462953401094
single_shape,TinyCNN,template_init,contrast,5,fidelity,5009,-0.1739428848318959
single_shape,TinyCNN,template_init,contrast,5,fidelity,5010,-0.04074875421298074
single_shape,TinyCNN,template_init,contrast,5,fidelity,5011,-0.1370922233516939
single_shape,TinyCNN,template_init,contrast,5,fidelity,5012,-0.06470394957043113
single_shape,TinyCNN,template_init,contrast,5,fidelity,5013,-0.1239346191242775
single_shape,TinyCNN,template_init,contrast,5,fidelity,5014,-0.005699059626045333
single_shape,TinyCNN,template_init,contrast,5,fidelity,5015,-0.2448328212041716
single_shape,TinyCNN,template_init,contrast,5,fidelity,5016,-0.10411344061974814
single_shape,TinyCNN,template_init,contrast,5,fidelity,5017,-0.10720650672535381
single_shape,TinyCNN,template_init,contrast,5,fidelity,5018,-0.2116689038653593
single_shape,TinyCNN,template_init,contrast,5,fidelity,5019,-0.1972595559694016
single_shape,TinyCNN,template_init,contrast,5,fidelity,5020,-0.11142978478485788
single_shape,TinyCNN,template_init,contrast,5,fidelity,5021,-0.03990863227473607
single_shape,TinyCNN,template_init,contrast,5,fidelity,5022,-0.18315847768543025
single_shape,TinyCNN,template_init,contrast,5,fidelity,5023,-0.06555255971696905
single_shape,TinyCNN,template_init,contrast,5,fidelity,5024,-0.1444630663073425
single_shape,TinyCNN,template_init,contrast,5,fidelity,5025,-0.018713120863291688
single_shape,TinyCNN,template_init,contrast,5,fidelity,5026,-0.10682395329010486
single_shape,TinyCNN,template_init,contrast,5,fidelity,5027,-0.14765732943790688
single_shape,TinyCNN,template_init,contrast,5,fidelity,5028,-0.18442940367494032
single_shape,TinyCNN,template_init,contrast,5,fidelity,5029,-0.14554038223361443
single_shape,TinyCNN,template_init,contrast,5,fidelity,5030,-0.16433733325791644
single_shape,TinyCNN,template_init,contrast,5,fidelity,5031,-0.04717411281031547
single_shape,TinyCNN,template_init,contrast,5,fidelity,5032,-0.142465208660411
single_shape,TinyCNN,template_init,contrast,5,fidelity,5033,-0.03753127579484561
single_shape,TinyCNN,template_init,contrast,5,fidelity,5034,-0.1664915929022086
single_shape,TinyCNN,template_init,contrast,5,fidelity,5035,-0.15855335259849057
single_shape,TinyCNN,template_init,contrast,5,fidelity,5036,-0.1556789956951231
single_shape,TinyCNN,template_init,contrast,5,fidelity,5037,-0.09753105978194088
single_shape,TinyCNN,template_init,contrast,5,fidelity,5038,-0.0742455012575991
single_shape,TinyCNN,template_init,contrast,5,fidelity,5039,-0.10987679884598622
single_shape,TinyCNN,template_init,contrast,5,fidelity,5040,-0.12902611155789367
