task,architecture,profile,method,block,B
single_shape,TinyCNN,release_default,contrast,5029,0.08853458891140986
single_shape,TinyCNN,release_default,contrast,5030,0.058768016696915504
single_shape,TinyCNN,release_default,contrast,5031,0.084909304684604
single_shape,TinyCNN,release_default,contrast,5032,-0.019708853230223422
single_shape,TinyCNN,release_default,contrast,5033,0.039212452364205674
single_shape,TinyCNN,release_default,contrast,5034,0.12434779385343842
single_shape,TinyCNN,release_default,contrast,5035,0.21746318850621477
single_shape,TinyCNN,release_default,contrast,5036,0.051795535360719014
single_shape,TinyCNN,release_default,contrast,5037,0.10317260387940658
single_shape,TinyCNN,release_default,contrast,5038,0.14552347284250627
single_shape,TinyCNN,release_default,contrast,5039,0.08550818963127843
single_shape,TinyCNN,release_default,contrast,5040,-0.04913442701624021
single_shape,TinyCNN,release_default,contrast,5041,0.02418433307843909
single_shape,TinyCNN,release_default,contrast,5042,0.09632136289657012
single_shape,TinyCNN,release_default,contrast,5043,0.05312055828865464
single_shape,TinyCNN,release_default,contrast,5044,0.06737120816973052
single_shape,TinyCNN,release_default,contrast,5045,0.14093992813981193
single_shape,TinyCNN,release_default,contrast,5046,-0.026461684651027162
single_shape,TinyCNN,release_default,contrast,5047,0.15884350674068803
single_shape,TinyCNN,release_default,contrast,5048,0.02568056442180594
single_shape,TinyCNN,release_default,contrast,5049,0.0061378854541797034
single_shape,TinyCNN,release_late,contrast,5000,0.15231921326669434
single_shape,TinyCNN,release_late,contrast,5001,0.042290148355692836
single_shape,TinyCNN,release_late,contrast,5002,0.0425346889739146
single_shape,TinyCNN,release_late,contrast,5003,0.16357433076153288
single_shape,TinyCNN,release_late,contrast,5004,0.13506106618519964
single_shape,TinyCNN,release_late,contrast,5005,0.07625954041257016
single_shape,TinyCNN,release_late,contrast,5006,0.03284882277713025
single_shape,TinyCNN,release_late,contrast,5007,0.17249652581007985
single_shape,TinyCNN,release_late,contrast,5008,0.13159714556348706
single_shape,TinyCNN,release_late,contrast,5009,0.04711989293415886
single_shape,TinyCNN,release_late,contrast,5010,0.08025416004786345
single_shape,TinyCNN,release_late,contrast,5011,0.0028892506638882876
single_shape,TinyCNN,release_late,contrast,5012,0.11721051772480912
single_shape,TinyCNN,release_late,contrast,5013,0.00422869683882432
single_shape,TinyCNN,release_late,contrast,5014,-0.026847699997249952
single_shape,TinyCNN,release_late,contrast,5015,0.11315178392735414
single_shape,TinyCNN,release_late,contrast,5016,0.12132916827600432
single_shape,TinyCNN,release_late,contrast,5017,0.07211587644091316
single_shape,TinyCNN,release_late,contrast,5018,0.2026662650348398
single_shape,TinyCNN,release_late,contrast,5019,0.0873454860343309
single_shape,TinyCNN,release_late,contrast,5020,0.03827356617618749
single_shape,TinyCNN,release_late,contrast,5021,0.09160782819600011
single_shape,TinyCNN,release_late,contrast,5022,0.11517618436376581
single_shape,TinyCNN,release_late,contrast,5023,0.03678732240253779
single_shape,TinyCNN,release_late,contrast,5024,-0.006684947708559985
single_shape,TinyCNN,release_late,contrast,5025,0.12050426182976304
single_shape,TinyCNN,release_late,contrast,5026,0.055932916808732414
single_shape,TinyCNN,release_late,contrast,5027,0.06308220376726564
single_shape,TinyCNN,release_late,contrast,5028,0.07756872385394165
single_shape,TinyCNN,release_late,contrast,5029,0.0827308343214253
single_shape,TinyCNN,release_late,contrast,5030,0.056122624475823224
single_shape,TinyCNN,release_late,contrast,5031,0.11314279493598173
single_shape,TinyCNN,release_late,contrast,5032,0.003230003450806429
single_shape,TinyCNN,release_late,contrast,5033,0.03002271033051468
single_shape,TinyCNN,release_late,contrast,5034,0.1317869486747022
single_shape,TinyCNN,release_late,contrast,5035,0.21999092409272392
single_shape,TinyCNN,release_late,contrast,5036,0.09449671336569393
single_shape,TinyCNN,release_late,contrast,5037,0.08462930164373389
single_shape,TinyCNN,release_late,contrast,5038,0.1352056818659173
single_shape,TinyCNN,release_late,contrast,5039,0.04762388034445042
single_shape,TinyCNN,release_late,contrast,5040,0.051895160315979294
single_shape,TinyCNN,release_late,contrast,5041,0.01035607326862864
single_shape,TinyCNN,release_late,contrast,5042,0.08871237100706775
single_shape,TinyCNN,release_late,contrast,5043,0.03394229391314646
single_shape,TinyCNN,release_late,contrast,5044,0.07951605533473105
single_shape,TinyCNN,release_late,contrast,5045,0.10198194164486635
single_shape,TinyCNN,release_late,contrast,5046,0.060620221435734034
single_shape,TinyCNN,release_late,contrast,5047,0.13352801701113087
single_shape,TinyCNN,release_late,contrast,5048,-0.004283019246837105
single_shape,TinyCNN,release_late,contrast,5049,0.05934686366045988
single_shape,TinyCNN,template_init,auroc,5000,0.15273214258809648
single_shape,TinyCNN,template_init,auroc,5001,0.08262073526132785
single_shape,TinyCNN,template_init,auroc,5002,0.11870890303361914
single_shape,TinyCNN,template_init,auroc,5003,0.053334910508955224
single_shape,TinyCNN,template_init,auroc,5004,0.07128929653206073
single_shape,TinyCNN,template_init,auroc,5005,0.05012831117113409
single_shape,TinyCNN,template_init,auroc,5006,0.12886215246047084
single_shape,TinyCNN,template_init,auroc,5007,0.10407093433794168
single_shape,TinyCNN,template_init,auroc,5008,0.1641066926762077
single_shape,TinyCNN,template_init,auroc,5009,0.0680099045416096
single_shape,TinyCNN,template_init,auroc,5010,0.06495198406732794
single_shape,TinyCNN,template_init,auroc,5011,0.018562711711800073
single_shape,TinyCNN,template_init,auroc,5012,0.13150723787736568
single_shape,TinyCNN,template_init,auroc,5013,0.06264376509933867
single_shape,TinyCNN,template_init,auroc,5014,0.05840932510730057
single_shape,TinyCNN,template_init,auroc,5015,0.15357133901612047
single_shape,TinyCNN,template_init,auroc,5016,0.11715040772020108
single_shape,TinyCNN,template_init,auroc,5017,0.10106089149853797
single_shape,TinyCNN,template_init,auroc,5018,0.14800367423224353
single_shape,TinyCNN,template_init,auroc,5019,0.08368830159268525
single_shape,TinyCNN,template_init,auroc,5020,0.0822866355885899
single_shape,TinyCNN,template_init,auroc,5021,0.04843317675849135
single_shape,TinyCNN,template_init,auroc,5022,0.1074539937702183
single_shape,TinyCNN,template_init,auroc,5023,-0.02670861414294745
single_shape,TinyCNN,template_init,auroc,5024,0.07337266700585682
single_shape,TinyCNN,template_init,auroc,5025,0.14953556105152138
single_shape,TinyCNN,template_init,auroc,5026,0.04985674253238387
single_shape,TinyCNN,template_init,auroc,5027,0.055641233127984024
single_shape,TinyCNN,template_init,auroc,5028,0.03838377793007691
single_shape,TinyCNN,template_init,auroc,5029,0.0949330395059757
single_shape,TinyCNN,template_init,auroc,5030,0.109013924498152
single_shape,TinyCNN,template_init,auroc,5031,0.11854406789224753
single_shape,TinyCNN,template_init,auroc,5032,-0.10413108018175254
single_shape,TinyCNN,template_init,auroc,5033,0.11025269363732754
single_shape,TinyCNN,template_init,auroc,5034,0.15223383208352081
single_shape,TinyCNN,template_init,auroc,5035,0.14701521601034356
single_shape,TinyCNN,template_init,auroc,5036,0.10457735632487292
single_shape,TinyCNN,template_init,auroc,5037,0.14168122500508057
single_shape,TinyCNN,template_init,auroc,5038,0.10877518885180792
single_shape,TinyCNN,template_init,auroc,5039,0.10089208714340897
