task,architecture,block,condition,original_U,refit_U,delta_U,original_cf_accuracy,refit_cf_accuracy,original_acc,refit_acc,selected_refit_converged
two_concepts,TwoLayerCNN,8,frozen_spectrum,0.07805855966730413,0.15180455622754774,0.07374599656024361,0.185546875,0.20703125,0.96484375,0.98046875,True
two_concepts,TinyCNN,7,frozen_spectrum,0.47717509566639355,0.4936518371792168,0.016476741512823245,0.396484375,0.591796875,0.5078125,0.70703125,True
two_concepts,TwoLayerCNN,6,frozen_random_unitnorm,0.022581550551093788,0.0005414332400188043,-0.022040117311074983,0.068359375,0.044921875,0.984375,0.99609375,True
single_shape,TinyCNN,0,frozen_random_unitnorm,0.2203070634949631,0.3806737625810947,0.1603666990861316,0.49609375,0.55859375,0.82421875,0.984375,True
single_shape,TwoLayerCNN,3,frozen_spectrum,0.0835684661886392,0.09177373897428029,0.008205272785641093,0.0416666679084301,0.09375,1.0,1.0,True
two_concepts,TinyCNN,3,template_init,0.36784782752460354,0.43761805523209213,0.06977022770748859,0.607421875,0.62890625,0.9140625,0.984375,True
single_shape,TinyCNN,8,frozen_spectrum,0.24344650540829665,0.4640327780932249,0.22058627268492825,0.4466145932674408,0.6471354365348816,0.8359375,0.99609375,True
two_concepts,TinyCNN,8,frozen_templates,0.7201142290465723,0.6203005324647387,-0.09981369658183359,0.5703125,0.642578125,0.48046875,0.77734375,True
two_concepts,TwoLayerCNN,7,template_retention_1,0.03258322994494933,0.031036039165243695,-0.0015471907797056372,0.087890625,0.064453125,0.9921875,0.98828125,True
single_shape,TwoLayerCNN,4,frozen_templates,0.08887551054992038,0.04979201666346372,-0.039083493886456655,0.15234375,0.0651041641831398,0.99609375,1.0,True
single_shape,TwoLayerCNN,6,frozen_spectrum,-0.017909280456005428,0.006806410911667948,0.024715691367673376,0.0065104165114462376,0.02994791604578495,1.0,1.0,True
single_shape,TwoLayerCNN,0,frozen_random_unitnorm,0.02595296143800424,0.007399028459412552,-0.01855393297859169,0.009114583022892475,0.01692708395421505,1.0,1.0,True
two_concepts,TinyCNN,3,frozen_random_unitnorm,0.4038339273350203,0.4697443722513956,0.06591044491637527,0.412109375,0.609375,0.42578125,0.76171875,True
two_concepts,TwoLayerCNN,8,frozen_templates,0.2204709890843796,0.17000430621759938,-0.050466682866780216,0.150390625,0.138671875,0.98828125,0.9921875,True
two_concepts,TinyCNN,0,frozen_templates,0.6363196565036917,0.38481337606525357,-0.25150628043843815,0.515625,0.587890625,0.609375,0.8125,True
single_shape,TinyCNN,2,frozen_spectrum,0.23747900839449337,0.45924648866593965,0.22176748027144627,0.5208333134651184,0.6471354365348816,0.828125,0.99609375,True
two_concepts,TwoLayerCNN,1,template_init,-0.0002980384331801311,-0.03402505256524335,-0.03372701413206322,0.05078125,0.0390625,0.98828125,0.9921875,True
two_concepts,TinyCNN,3,template_retention_1,0.5246481757992499,0.6158382714404389,0.09119009564118896,0.630859375,0.806640625,0.68359375,0.93359375,True
single_shape,TinyCNN,1,template_retention_1,0.3690378030893784,0.4703975361845917,0.10135973309521329,0.5169270634651184,0.5260416865348816,1.0,1.0,True
two_concepts,TwoLayerCNN,8,frozen_random_unitnorm,0.119397577514507,0.04029606968847815,-0.07910150782602884,0.146484375,0.087890625,0.98828125,0.99609375,True
single_shape,TwoLayerCNN,9,frozen_spectrum,0.09711031205610796,0.07608625002802645,-0.021024062028081505,0.1119791641831398,0.0690104141831398,1.0,1.0,True
two_concepts,TwoLayerCNN,0,frozen_templates,0.12498824099212469,0.17004408034065857,0.04505583934853388,0.173828125,0.181640625,0.98828125,0.99609375,True
two_concepts,TinyCNN,6,frozen_random_unitnorm,0.07430556893723256,0.4075411713489414,0.33323560241170885,0.279296875,0.556640625,0.39453125,0.7109375,True
single_shape,TwoLayerCNN,5,frozen_random_unitnorm,0.003069812049230347,-0.011158129286571478,-0.014227941335801825,0.0065104165114462376,0.00390625,1.0,1.0,True
single_shape,TinyCNN,6,template_init,0.2738438131307934,0.3657490587218486,0.09190524559105517,0.3059895932674408,0.3880208432674408,1.0,1.0,True
single_shape,TwoLayerCNN,5,template_init,0.04763527205302262,0.014842322654908688,-0.03279294939811393,0.0065104165114462376,0.0065104165114462376,1.0,1.0,True
single_shape,TinyCNN,7,frozen_templates,0.24910237626772108,0.3981416366346767,0.14903926036695564,0.515625,0.5703125,0.66796875,0.99609375,True
single_shape,TinyCNN,9,template_retention_1,0.3120003873110868,0.489437866805435,0.17743747949434818,0.4401041567325592,0.5403645634651184,1.0,1.0,True
single_shape,TwoLayerCNN,4,template_retention_1,0.10008332489701197,0.06114916373869225,-0.03893416115831971,0.14453125,0.0690104141831398,0.99609375,1.0,True
single_shape,TwoLayerCNN,8,template_init,0.10154304232478589,0.09512543422646245,-0.006417608098323438,0.1419270783662796,0.1002604141831398,1.0,1.0,True
