task,architecture,treatment,reference,metric,n,mean,sd,lo,hi,p
single_shape,TinyCNN,template_retention_0.1,template_init,fidelity_random,10,0.03478767633557771,0.004371793537772529,0.031660283636776934,0.03791506903437848,1.1882314011683368e-09
single_shape,TinyCNN,template_retention_0.1,template_init,causal_usefulness,10,0.011793089135504498,0.01788484879332008,-0.00100096096135425,0.024587139232363248,0.06670332038757812
single_shape,TinyCNN,template_retention_0.1,template_init,cf_accuracy,10,0.04518229067325592,0.044381548081888315,0.013433643754423553,0.0769309375920883,0.010500622766708326
single_shape,TinyCNN,template_retention_0.1,template_init,cf_accuracy_random,10,0.011490885389503092,0.008000942436016295,0.005767355963483664,0.017214414815522522,0.001402624427367947
single_shape,TinyCNN,template_retention_0.1,template_init,refit_test_acc,10,0.000390625,0.0012352647110032732,-0.0004930301417398823,0.0012742801417398824,0.34343639613791355
single_shape,TinyCNN,template_retention_0.1,template_init,nuisance_acc,10,0.0,0.0,0.0,0.0,1.0
single_shape,TinyCNN,template_retention_0.1,template_init,nuisance_prediction_stability,10,0.0,0.0,0.0,0.0,1.0
single_shape,TinyCNN,template_retention_0.1,template_init,nuisance_probability_l2,10,0.0002732967055635527,0.00013221669519252428,0.00017871457957062512,0.0003678788315564803,0.00010682238766646006
single_shape,TinyCNN,template_retention_0.1,template_init,drift_l2,10,-0.6737903952598572,0.0336677238971389,-0.6978748340585842,-0.6497059564611302,3.0980142019283257e-13
single_shape,TinyCNN,template_retention_0.1,template_init,selected_kernel_alignment,10,0.09381468268434169,0.036810125963398284,0.06748230486612404,0.12014706050255934,2.0863196043677057e-05
single_shape,TinyCNN,template_retention_0.1,template_init,best_semantic_kernel_alignment,10,0.09470419954574892,0.04086714665851774,0.06546960395553994,0.1239387951359579,4.42925810125889e-05
single_shape,TinyCNN,template_retention_0.1,template_init,input_effect_mean_square,10,-0.1821929136912028,0.01484421579081253,-0.19281182597114171,-0.1715740014112639,2.4861052159088314e-11
single_shape,TinyCNN,template_retention_0.1,template_init,counterfactual_agreement,10,0.04518229067325592,0.044381548081888315,0.013433643754423553,0.0769309375920883,0.010500622766708326
single_shape,TinyCNN,template_init,random_unitnorm,id_acc,10,0.0,0.0,0.0,0.0,1.0
single_shape,TinyCNN,template_init,random_unitnorm,alignment,10,0.35983285966406353,0.04258076249403287,0.32937241715170784,0.3902933021764192,6.960355263306796e-10
single_shape,TinyCNN,template_init,random_unitnorm,semantic_auc,10,-0.003680419921875,0.017989023645610155,-0.016548992218749767,0.009188152374999765,0.5337971148447672
single_shape,TinyCNN,template_init,random_unitnorm,localization_iou,10,0.1496997261461698,0.07805807397984266,0.09386034385654063,0.20553910843579898,0.00018712328749079056
single_shape,TinyCNN,template_init,random_unitnorm,fidelity_selected,10,-0.015362590294102385,0.092974671021479,-0.08187266329131136,0.05114748270310659,0.6139279095024894
