task,architecture,condition,block,mean_val_acc_epochs_1_10,val_acc_epoch_5,val_acc_epoch_10,val_acc_epoch_20,val_acc_epoch_40,first_epoch_95,val_ce_improvement_31_40
single_shape,TinyCNN,spectrum_retention_1,block06,0.725,0.73828125,0.98828125,1.0,1.0,9.0,0.08707994222640991
single_shape,TinyCNN,spectrum_retention_1,block07,0.61484375,0.6328125,0.8359375,0.9375,0.984375,23.0,0.1137317419052124
single_shape,TinyCNN,spectrum_retention_1,block08,0.81484375,0.90234375,0.99609375,1.0,0.99609375,6.0,0.06953659653663635
single_shape,TinyCNN,spectrum_retention_1,block09,0.5703125,0.5,0.8125,0.98828125,0.99609375,18.0,0.13091251254081726
single_shape,TinyCNN,template_init,block00,0.7390625,0.93359375,1.0,1.0,1.0,6.0,0.029928553849458694
single_shape,TinyCNN,template_init,block01,0.852734375,0.8984375,0.9921875,1.0,1.0,7.0,0.0407860167324543
single_shape,TinyCNN,template_init,block02,0.690625,0.546875,0.96484375,1.0,1.0,9.0,0.06271936744451523
single_shape,TinyCNN,template_init,block03,0.627734375,0.58984375,0.9921875,1.0,1.0,9.0,0.049734342843294144
single_shape,TinyCNN,template_init,block04,0.62890625,0.51953125,0.98046875,1.0,1.0,9.0,0.07695604115724564
single_shape,TinyCNN,template_init,block05,0.73046875,0.6796875,0.984375,1.0,1.0,8.0,0.056517548859119415
single_shape,TinyCNN,template_init,block06,0.693359375,0.73046875,1.0,1.0,1.0,8.0,0.04689595475792885
single_shape,TinyCNN,template_init,block07,0.641796875,0.73046875,0.88671875,0.984375,0.99609375,12.0,0.062014877796173096
single_shape,TinyCNN,template_init,block08,0.875390625,1.0,1.0,1.0,1.0,4.0,0.02914319932460785
single_shape,TinyCNN,template_init,block09,0.66484375,0.53125,1.0,1.0,1.0,10.0,0.05726487934589386
single_shape,TinyCNN,template_retention_0.1,block00,0.7390625,0.94140625,1.0,1.0,1.0,6.0,0.027767695486545563
single_shape,TinyCNN,template_retention_0.1,block01,0.85390625,0.90234375,0.9921875,1.0,1.0,7.0,0.037860505282878876
single_shape,TinyCNN,template_retention_0.1,block02,0.691015625,0.55078125,0.96484375,1.0,1.0,9.0,0.058474525809288025
single_shape,TinyCNN,template_retention_0.1,block03,0.62578125,0.56640625,0.9921875,1.0,1.0,9.0,0.0471566766500473
single_shape,TinyCNN,template_retention_0.1,block04,0.6328125,0.52734375,0.9765625,1.0,1.0,9.0,0.07580903172492981
single_shape,TinyCNN,template_retention_0.1,block05,0.732421875,0.6796875,0.984375,1.0,1.0,8.0,0.05204308032989502
single_shape,TinyCNN,template_retention_0.1,block06,0.6953125,0.734375,1.0,1.0,1.0,8.0,0.04678685963153839
single_shape,TinyCNN,template_retention_0.1,block07,0.640234375,0.73046875,0.88671875,0.98046875,0.99609375,12.0,0.062226638197898865
single_shape,TinyCNN,template_retention_0.1,block08,0.87421875,1.0,1.0,1.0,1.0,4.0,0.02795226126909256
single_shape,TinyCNN,template_retention_0.1,block09,0.665234375,0.53125,1.0,1.0,1.0,10.0,0.05270131677389145
single_shape,TinyCNN,template_retention_1,block00,0.733984375,0.9375,1.0,1.0,1.0,6.0,0.07047480344772339
single_shape,TinyCNN,template_retention_1,block01,0.8484375,0.890625,0.9921875,0.99609375,0.99609375,7.0,0.08470836281776428
single_shape,TinyCNN,template_retention_1,block02,0.67890625,0.59375,0.93359375,1.0,1.0,12.0,0.10437589883804321
single_shape,TinyCNN,template_retention_1,block03,0.5953125,0.44921875,0.97265625,1.0,1.0,9.0,0.09483575820922852
single_shape,TinyCNN,template_retention_1,block04,0.64453125,0.55859375,0.9765625,0.9921875,0.99609375,9.0,0.11277323961257935
single_shape,TinyCNN,template_retention_1,block05,0.734375,0.69921875,0.97265625,0.9921875,1.0,9.0,0.08739760518074036
single_shape,TinyCNN,template_retention_1,block06,0.680859375,0.70703125,0.9921875,0.9921875,0.9921875,8.0,0.08508685231208801
single_shape,TinyCNN,template_retention_1,block07,0.6296875,0.734375,0.8203125,0.96875,0.984375,19.0,0.10435393452644348
single_shape,TinyCNN,template_retention_1,block08,0.869921875,1.0,1.0,1.0,1.0,4.0,0.061768144369125366
single_shape,TinyCNN,template_retention_1,block09,0.65703125,0.59375,0.98828125,1.0,1.0,10.0,0.0960145890712738
single_shape,TwoLayerCNN,frozen_random_unitnorm,block00,0.719921875,0.70703125,0.9921875,1.0,1.0,8.0,0.02273944392800331
single_shape,TwoLayerCNN,frozen_random_unitnorm,block01,0.851171875,0.9140625,0.96875,1.0,1.0,9.0,0.035290203988552094
single_shape,TwoLayerCNN,frozen_random_unitnorm,block02,0.87421875,0.98828125,0.99609375,0.99609375,1.0,5.0,0.02421843633055687
single_shape,TwoLayerCNN,frozen_random_unitnorm,block03,0.78984375,0.71484375,0.99609375,0.99609375,1.0,8.0,0.022006796672940254
