task,architecture,block,condition,id_acc,test_ce,alignment,initial_alignment,semantic_auc,localization_iou,fidelity_selected,fidelity_random,cf_accuracy,cf_accuracy_random,nuisance_acc,nuisance_prediction_stability,nuisance_probability_l2,refit_test_acc,refit_val_acc,refit_converged,drift_l2,seconds,causal_usefulness,selected_kernel_alignment,best_semantic_kernel_alignment,input_effect_mean_square,counterfactual_agreement
two_concepts,TinyCNN,1,template_retention_0.1,0.9765625,0.39211106300354004,0.7753898377304009,1.0,0.960174560546875,0.27467207877017663,0.8288821050636245,0.34998035996864874,0.751953125,0.1884765625,0.94921875,0.95703125,0.007365322206169367,0.984375,0.9921875,True,1.0754237174987793,5.624905824661255,0.47890174509497574,0.7168788446831232,0.6059047687318105,0.7370524406433105,0.76171875
two_concepts,TinyCNN,1,template_retention_1,0.8984375,0.7790712118148804,0.948335210982984,1.0,0.91363525390625,0.3490573888419023,0.8651464154991009,0.36775049593615977,0.662109375,0.207275390625,0.88671875,0.90234375,0.002985335886478424,0.9609375,0.9765625,True,0.3584984838962555,5.491926193237305,0.4973959195629411,0.9347665781157618,0.917757858427307,0.2196100950241089,0.705078125
two_concepts,TinyCNN,2,frozen_random_unitnorm,0.6171875,1.2623558044433594,0.13655835075410264,0.13655835075410264,0.7918701171875,0.19034276309263387,0.8070662713465975,0.34104429821567367,0.564453125,0.265625,0.6796875,0.75,0.0012952792458236217,0.76171875,0.81640625,True,0.0,2.448390007019043,0.4660219731309238,0.16113818138177177,0.1510268687206821,0.007565011736005545,0.70703125
two_concepts,TinyCNN,2,frozen_spectrum,0.5,1.3033993244171143,0.39520919398472154,0.39520919398472154,0.703399658203125,0.1724898437817457,0.7820643171938124,0.4089544712843054,0.462890625,0.28857421875,0.48828125,0.796875,0.0005027572042308748,0.7734375,0.76171875,True,0.0,2.454751968383789,0.373109845909507,0.43359100111741866,0.5386798472623072,0.005192277487367392,0.775390625
two_concepts,TinyCNN,2,frozen_templates,0.4609375,1.2098983526229858,1.0,1.0,0.768402099609375,0.40069556313253535,0.9486171662399524,0.4787431621829707,0.56640625,0.338134765625,0.46484375,0.85546875,0.0008124804589897394,0.80859375,0.83203125,True,0.0,2.248178005218506,0.4698740040569817,1.0,1.0000000000000002,0.024526698514819145,0.77734375
two_concepts,TinyCNN,2,random,0.9921875,0.12379910796880722,0.22676558585527062,0.1365583521541667,0.98583984375,0.17677434394095493,0.8628311786730585,0.2545036454961771,0.771484375,0.095703125,0.984375,0.9921875,0.0053637148812413216,0.9921875,1.0,True,1.8686861991882324,5.792273998260498,0.6083275331768814,0.20653409765748,0.22429313732055164,1.4619871377944946,0.779296875
two_concepts,TinyCNN,2,random_unitnorm,1.0,0.1231209859251976,0.2175162135596635,0.13655835075410264,0.9859619140625,0.1608400573628624,0.8439066579559585,0.2601989604180091,0.75390625,0.0888671875,0.98046875,0.98046875,0.006805053912103176,1.0,1.0,True,1.8651764392852783,5.882145166397095,0.5837076975379494,0.2005729040958685,0.210094601206099,1.4548463821411133,0.75390625
two_concepts,TinyCNN,2,spectrum_init,0.9921875,0.19252823293209076,0.3608554326071055,0.39520919398472154,0.98870849609375,0.20131696644384617,0.9172690843826062,0.27510445799592775,0.875,0.091552734375,0.95703125,0.96484375,0.011085787788033485,0.98046875,1.0,True,1.8640743494033813,5.307462930679321,0.6421646263866785,0.3084892093281295,0.2943842729026129,1.2224578857421875,0.876953125
two_concepts,TinyCNN,2,spectrum_retention_1,0.84375,0.7048485279083252,0.40331578334803164,0.39520919398472154,0.94915771484375,0.17485267841523988,0.939816262970226,0.3155375346665811,0.76953125,0.19921875,0.81640625,0.921875,0.005249624140560627,0.9921875,1.0,True,0.3936690390110016,7.316926002502441,0.624278728303645,0.3628799115028116,0.38954728620814716,0.26929616928100586,0.875
two_concepts,TinyCNN,2,template_init,0.9921875,0.19816496968269348,0.5969129815423075,1.0,0.992401123046875,0.29028242149183836,0.9039235257893551,0.29876003365603204,0.828125,0.110595703125,0.984375,0.984375,0.008517098613083363,0.9921875,1.0,True,2.0001916885375977,5.706563234329224,0.6051634921333231,0.5463961268718385,0.5821013414382947,1.197688102722168,0.833984375
