task,architecture,block,condition,id_acc,test_ce,alignment,initial_alignment,semantic_auc,localization_iou,fidelity_selected,fidelity_random,cf_accuracy,cf_accuracy_random,nuisance_acc,nuisance_prediction_stability,nuisance_probability_l2,refit_test_acc,refit_val_acc,refit_converged,drift_l2,seconds,causal_usefulness,epoch
single_shape,TinyCNN,2001,random_unitnorm,1.0,0.012705153785645962,0.29799591531480585,0.17255583274231553,0.9659423828125,0.3520247586519481,0.44868137991804335,0.18751442501786425,0.2473958283662796,0.07014973973855376,1.0,1.0,0.00027319457149133086,1.0,1.0,True,1.8721554279327393,0.5306389331817627,0.2611669549001791,80
single_shape,TinyCNN,2001,random_unitnorm,1.0,0.006387603469192982,0.30107266235276,0.17255583274231553,0.96630859375,0.35144336374322593,0.428396127622646,0.16760117074692182,0.2447916716337204,0.07063802116317675,1.0,1.0,9.853969822870567e-05,1.0,1.0,True,2.0351338386535645,0.4527857303619385,0.2607949568757242,120
single_shape,TinyCNN,2001,random_unitnorm,1.0,0.003981789108365774,0.30282821439779417,0.17255583274231553,0.9663289388020833,0.3418802592486455,0.41544128423178917,0.15656755557836197,0.2434895783662796,0.07112630241317675,1.0,1.0,4.808744779438712e-05,1.0,1.0,True,2.145409107208252,0.5337839126586914,0.25887372865342717,160
single_shape,TinyCNN,2001,random_unitnorm,1.0,0.0027691295836120844,0.30378936391262695,0.17255583274231553,0.9662272135416667,0.34263125558623114,0.4060378862266849,0.14933224913067122,0.2434895783662796,0.07194010465173051,1.0,1.0,2.758706068561878e-05,1.0,1.0,True,2.2292630672454834,0.5225331783294678,0.2567056370960137,200
single_shape,TinyCNN,2001,template_init,0.56640625,1.2526941299438477,0.9968926745003888,1.0,0.8762207031249999,0.5456355038343221,0.3315491317308372,0.21555213540564344,0.2890625,0.2210286483168602,0.5703125,0.9375,0.0002757404581643641,0.98828125,0.98828125,True,0.08698494732379913,0.5576534271240234,0.11599699632519378,1
single_shape,TinyCNN,2001,template_init,0.9921875,0.9454258680343628,0.9466019139709458,1.0,0.9035847981770834,0.5717213140540119,0.5148003879835399,0.3850868131707714,0.4010416567325592,0.12841796735301614,1.0,0.9921875,0.0005406024865806103,0.99609375,0.9921875,True,0.36090463399887085,0.5170376300811768,0.12971357481276846,5
single_shape,TinyCNN,2001,template_init,0.9921875,0.6185930371284485,0.8662529191016166,1.0,0.9494222005208334,0.5645722835170887,0.5807224098625328,0.39229562327798995,0.3984375,0.0880533850286156,1.0,0.9921875,0.0012409621849656105,0.99609375,1.0,True,0.6547608375549316,0.45551013946533203,0.18842678658454282,10
single_shape,TinyCNN,2001,template_init,1.0,0.19682876765727997,0.7602360940947616,1.0,0.9673258463541666,0.5037472934078525,0.5614575742279041,0.33213411107536656,0.3020833432674408,0.060546874708961695,1.0,1.0,0.0018381195841357112,1.0,1.0,True,1.136620044708252,0.5080664157867432,0.22932346315253754,20
single_shape,TinyCNN,2001,template_init,1.0,0.04604232683777809,0.7001811271778968,1.0,0.9694010416666666,0.4462239908644593,0.5238798228801375,0.24532230663856197,0.29296875,0.05712890613358468,1.0,1.0,0.001438746927306056,1.0,1.0,True,1.5889692306518555,0.48635149002075195,0.2785575162415755,40
single_shape,TinyCNN,2001,template_init,1.0,0.014069348573684692,0.6679719435937073,1.0,0.9694824218749999,0.41144886775462464,0.5048649741844329,0.18649005337637942,0.3515625,0.05126953171566129,1.0,1.0,0.0008754662703722715,1.0,1.0,True,1.9332501888275146,0.5445008277893066,0.31837492080805346,80
single_shape,TinyCNN,2001,template_init,1.0,0.007667553145438433,0.656777963763518,1.0,0.9696044921875,0.41008611160829045,0.4877049415950615,0.1625618595163955,0.3580729067325592,0.051432291977107525,1.0,1.0,0.0005836116033606231,1.0,1.0,True,2.110179901123047,0.46082425117492676,0.325143082078666,120
single_shape,TinyCNN,2001,template_init,1.0,0.0051244585774838924,0.6494906451268101,1.0,0.9827677408854166,0.40726199984143974,0.4764465540149575,0.1487806426249667,0.3580729067325592,0.051920571364462376,1.0,1.0,0.00041636390960775316,1.0,1.0,True,2.230583429336548,0.5246274471282959,0.3276659113899908,160
single_shape,TinyCNN,2001,template_init,1.0,0.003743970301002264,0.6445900958608176,1.0,0.9829915364583333,0.4061093480935117,0.46818284853683534,0.13956531144817472,0.3528645932674408,0.05126953055150807,1.0,1.0,0.0002894552890211344,1.0,1.0,True,2.3224573135375977,0.49405598640441895,0.3286175370886606,200
single_shape,TinyCNN,2001,template_release,0.5625,1.2532597780227661,0.9973676129906986,1.0,0.8762003580729167,0.546945988372236,0.32984656171409144,0.2143310463871414,0.2903645932674408,0.22054036147892475,0.578125,0.92578125,0.00027546106139197946,0.98828125,0.98828125,True,0.07801418751478195,0.4843435287475586,0.11551551532695004,1
single_shape,TinyCNN,2001,template_release,0.98046875,0.9687067270278931,0.9652124588957267,1.0,0.8980916341145834,0.5701347623638695,0.5141713916574939,0.38163072581207347,0.3997395932674408,0.1274414067156613,0.9921875,0.98828125,0.00044886107207275927,0.99609375,0.98828125,True,0.2739548981189728,0.4715585708618164,0.13254066584542046,5
single_shape,TinyCNN,2001,template_release,0.9921875,0.7349976301193237,0.9381854563142893,1.0,0.9101765950520833,0.5765664922426225,0.5603570520089444,0.3926302961886605,0.3932291567325592,0.09375000069849193,0.99609375,0.99609375,0.000833075144328177,0.99609375,1.0,True,0.38153648376464844,0.46834444999694824,0.16772675582028385,10
single_shape,TinyCNN,2001,template_release,0.9921875,0.4393652379512787,0.9143358525440678,1.0,0.93707275390625,0.5642617447493331,0.5907576092779878,0.38252880209908113,0.4140625,0.0821940100286156,1.0,0.9921875,0.0015526075148954988,1.0,1.0,True,0.4757877290248871,0.5456929206848145,0.20822880717890668,20
single_shape,TinyCNN,2001,template_release,0.99609375,0.2085392326116562,0.9005412464973918,1.0,0.9513956705729166,0.552242631442138,0.5945989006425356,0.35242305826284015,0.3958333432674408,0.08430989482440054,1.0,0.99609375,0.0019543312955647707,1.0,1.0,True,0.5208679437637329,0.5167336463928223,0.24217584237969547,40
single_shape,TinyCNN,2001,template_release,1.0,0.04162559285759926,0.8295872357772944,1.0,0.9671630859375,0.5276481745049336,0.5585335819801929,0.2584010945603937,0.4140625,0.0802408845629543,1.0,1.0,0.001919712289236486,1.0,1.0,True,0.7835310697555542,0.5393416881561279,0.3001324874197992,80
single_shape,TinyCNN,2001,template_release,1.0,0.01081274077296257,0.7424651124915855,1.0,0.9741007486979167,0.463883689318031,0.517026928514714,0.18999473542624715,0.41015625,0.07666015694849193,1.0,1.0,0.0013702354626730084,1.0,1.0,True,1.2248191833496094,0.47857117652893066,0.32703219308846687,120
single_shape,TinyCNN,2001,template_release,1.0,0.006891528610140085,0.7189011411176458,1.0,0.97528076171875,0.44306775576305424,0.5171414940104314,0.17063554285486482,0.4153645932674408,0.07600911427289248,1.0,1.0,0.0012059176806360483,1.0,1.0,True,1.401228904724121,0.4856991767883301,0.3465059511555666,160
single_shape,TinyCNN,2001,template_release,1.0,0.005246572196483612,0.7049252546347982,1.0,0.975830078125,0.43115116899152706,0.5105391246278184,0.15916847897817785,0.41796875,0.07486979058012366,1.0,1.0,0.0011130650527775288,1.0,1.0,True,1.5200953483581543,0.48209214210510254,0.3513706456496405,200
single_shape,TinyCNN,2001,template_retention_1,0.5625,1.2532597780227661,0.9973676129906986,1.0,0.8762003580729167,0.546945988372236,0.32984656171409144,0.2143310463871414,0.2903645932674408,0.22054036147892475,0.578125,0.92578125,0.00027546106139197946,0.98828125,0.98828125,True,0.07801418751478195,0.5074410438537598,0.11551551532695004,1
single_shape,TinyCNN,2001,template_retention_1,0.98046875,0.9687067270278931,0.9652124588957267,1.0,0.8980916341145834,0.5701347623638695,0.5141713916574939,0.38163072581207347,0.3997395932674408,0.1274414067156613,0.9921875,0.98828125,0.00044886107207275927,0.99609375,0.98828125,True,0.2739548981189728,0.4961867332458496,0.13254066584542046,5
