architecture,method,k,metric,block,delta
TinyCNN,auroc,4,fidelity,4002,-0.059106144567597
TinyCNN,auroc,4,fidelity,4003,-0.16805857536498414
TinyCNN,auroc,4,fidelity,4004,0.006379818705121165
TinyCNN,auroc,4,fidelity,4005,-0.30361721928243335
TinyCNN,auroc,4,fidelity,4006,0.013405112389045515
TinyCNN,auroc,4,fidelity,4007,0.01700184665066906
TinyCNN,auroc,4,fidelity,4008,-0.021603475244440062
TinyCNN,auroc,4,fidelity,4009,0.005432216630757103
TinyCNN,auroc,4,fidelity,4010,-0.02108596287423481
TinyCNN,auroc,4,fidelity,4011,-0.01160755990574458
TinyCNN,auroc,4,fidelity,4012,-0.012449199716522807
TinyCNN,auroc,4,fidelity,4013,-0.004129898385175412
TinyCNN,auroc,4,fidelity,4014,-0.018698116164887035
TinyCNN,auroc,4,fidelity,4015,-0.014665168764980141
TinyCNN,auroc,4,fidelity,4016,-0.044559757222763174
TinyCNN,auroc,4,fidelity,4017,0.01768437446274873
TinyCNN,auroc,4,fidelity,4018,-0.06944188772382931
TinyCNN,auroc,4,fidelity,4019,-0.0398822237343569
TinyCNN,auroc,8,fidelity,4000,0.01387765543418562
TinyCNN,auroc,8,fidelity,4001,0.00401394319293058
TinyCNN,auroc,8,fidelity,4002,-0.011495386498493687
TinyCNN,auroc,8,fidelity,4003,0.01237984853924834
TinyCNN,auroc,8,fidelity,4004,0.011051449449348993
TinyCNN,auroc,8,fidelity,4005,0.0023910925062741173
TinyCNN,auroc,8,fidelity,4006,0.008170220813244367
TinyCNN,auroc,8,fidelity,4007,0.006277920015338334
TinyCNN,auroc,8,fidelity,4008,0.002892300720863772
TinyCNN,auroc,8,fidelity,4009,0.006361028264825319
TinyCNN,auroc,8,fidelity,4010,0.007907404897128711
TinyCNN,auroc,8,fidelity,4011,0.01150682839418693
TinyCNN,auroc,8,fidelity,4012,0.005411915678114831
TinyCNN,auroc,8,fidelity,4013,0.007797378131953248
TinyCNN,auroc,8,fidelity,4014,0.0027364118078564426
TinyCNN,auroc,8,fidelity,4015,0.012613021970958038
TinyCNN,auroc,8,fidelity,4016,0.01814037386347289
TinyCNN,auroc,8,fidelity,4017,-0.000542409459006854
TinyCNN,auroc,8,fidelity,4018,0.0030362822803167155
TinyCNN,auroc,8,fidelity,4019,-0.0076063356852345
TinyCNN,validation_patch,1,fidelity,4000,-0.12786533692039947
TinyCNN,validation_patch,1,fidelity,4001,-0.2760035539638054
TinyCNN,validation_patch,1,fidelity,4002,-0.3305554765019463
TinyCNN,validation_patch,1,fidelity,4003,-0.3858921513624246
TinyCNN,validation_patch,1,fidelity,4004,-0.24440796323091507
TinyCNN,validation_patch,1,fidelity,4005,-0.28244931406473295
TinyCNN,validation_patch,1,fidelity,4006,-0.36737175224153107
