task,architecture,block,condition,epoch,concept,control,k,selected_channels,control_channels,selected_energy,control_energy,relative_energy_error,energy_ratio,method
two_concepts,TinyCNN,4000,template_release,200,0,6,2,"[9, 12]","[0, 1]",15663.747924804688,16562.09912109375,0.057352250598112456,1.0573522505981123,auroc
two_concepts,TinyCNN,4000,template_release,200,0,7,2,"[9, 12]","[10, 13]",15663.747924804688,14702.2509765625,0.06138358155774371,0.9386164184422562,auroc
two_concepts,TinyCNN,4000,template_release,200,1,0,2,"[6, 15]","[2, 15]",98676.048828125,98769.6015625,0.000948079452775325,1.0009480794527754,auroc
two_concepts,TinyCNN,4000,template_release,200,1,1,2,"[6, 15]","[1, 15]",98676.048828125,96342.638671875,0.023647178661504363,0.9763528213384957,auroc
two_concepts,TinyCNN,4000,template_release,200,1,2,2,"[6, 15]","[13, 15]",98676.048828125,95571.212890625,0.03146493981440254,0.9685350601855974,auroc
two_concepts,TinyCNN,4000,template_release,200,1,3,2,"[6, 15]","[8, 15]",98676.048828125,95036.017578125,0.03688870088769206,0.963111299112308,auroc
two_concepts,TinyCNN,4000,template_release,200,1,4,2,"[6, 15]","[14, 15]",98676.048828125,93637.45703125,0.051061953297818735,0.9489380467021813,auroc
two_concepts,TinyCNN,4000,template_release,200,1,5,2,"[6, 15]","[0, 15]",98676.048828125,93120.8828125,0.05629700501386155,0.9437029949861384,auroc
two_concepts,TinyCNN,4000,template_release,200,1,6,2,"[6, 15]","[4, 15]",98676.048828125,104778.0078125,0.06183829872437898,1.061838298724379,auroc
two_concepts,TinyCNN,4000,template_release,200,1,7,2,"[6, 15]","[3, 15]",98676.048828125,107775.71484375,0.09221757583215452,1.0922175758321546,auroc
two_concepts,TinyCNN,4000,template_release,200,0,0,2,"[3, 14]","[3, 8]",43993.76953125,44014.9609375,0.000481691077527402,1.0004816910775274,validation_patch
two_concepts,TinyCNN,4000,template_release,200,0,1,2,"[3, 14]","[12, 15]",43993.76953125,44575.52734375,0.013223640954130134,1.0132236409541302,validation_patch
two_concepts,TinyCNN,4000,template_release,200,0,2,2,"[3, 14]","[5, 15]",43993.76953125,44828.1494140625,0.01896586475091244,1.0189658647509123,validation_patch
two_concepts,TinyCNN,4000,template_release,200,0,3,2,"[3, 14]","[3, 4]",43993.76953125,45298.1171875,0.029648463183485234,1.0296484631834852,validation_patch
two_concepts,TinyCNN,4000,template_release,200,0,4,2,"[3, 14]","[6, 15]",43993.76953125,42139.4482421875,0.04214963411456079,0.9578503658854393,validation_patch
two_concepts,TinyCNN,4000,template_release,200,0,5,2,"[3, 14]","[7, 15]",43993.76953125,41964.90625,0.04611705936698245,0.9538829406330176,validation_patch
two_concepts,TinyCNN,4000,template_release,200,0,6,2,"[3, 14]","[2, 15]",43993.76953125,40924.1572265625,0.06977379609417349,0.9302262039058266,validation_patch
two_concepts,TinyCNN,4000,template_release,200,0,7,2,"[3, 14]","[1, 15]",43993.76953125,40654.6767578125,0.07589921957166343,0.9241007804283365,validation_patch
two_concepts,TinyCNN,4000,template_release,200,1,0,2,"[1, 15]","[13, 15]",96342.638671875,95571.212890625,0.008007106634034925,0.9919928933659651,validation_patch
