task,architecture,epoch,method,k,metric,n,mean,ci_low,ci_high
two_concepts,TwoLayerCNN,200,auroc,2,cf_accuracy,10,-0.002734375,-0.0085213979734881,0.0030526479734881004
two_concepts,TwoLayerCNN,200,auroc,4,causal_usefulness,10,-0.053862068067198274,-0.0923862304819548,-0.015337905652441745
two_concepts,TwoLayerCNN,200,auroc,4,cf_accuracy,10,-0.040625,-0.06515251063911529,-0.016097489360884714
two_concepts,TwoLayerCNN,200,auroc,8,causal_usefulness,10,0.01085444194497126,-0.107947349041693,0.12965623293163553
two_concepts,TwoLayerCNN,200,auroc,8,cf_accuracy,10,0.0064453125,-0.12080997664654194,0.13370060164654193
two_concepts,TwoLayerCNN,200,contrast,1,causal_usefulness,10,-0.0010232505061829559,-0.008361328770010251,0.006314827757644339
two_concepts,TwoLayerCNN,200,contrast,1,cf_accuracy,10,-0.0029296875,-0.006367876999209923,0.0005085019992099233
two_concepts,TwoLayerCNN,200,contrast,2,causal_usefulness,10,-3.5070384815651114e-05,-0.01524003992556397,0.015169899155932667
two_concepts,TwoLayerCNN,200,contrast,2,cf_accuracy,10,-0.003125,-0.009551359699746544,0.003301359699746545
two_concepts,TwoLayerCNN,200,contrast,4,causal_usefulness,10,-0.05779997481804491,-0.09439880636952,-0.021201143266569807
two_concepts,TwoLayerCNN,200,contrast,4,cf_accuracy,10,-0.0421875,-0.06589113626071655,-0.018483863739283457
two_concepts,TwoLayerCNN,200,contrast,8,causal_usefulness,10,-0.0037520008903107137,-0.09641643665076466,0.08891243487014322
two_concepts,TwoLayerCNN,200,contrast,8,cf_accuracy,10,-0.0064453125,-0.10385702011084619,0.0909663951108462
two_concepts,TwoLayerCNN,200,validation_patch,1,causal_usefulness,10,-0.0128575871265381,-0.019125268289846137,-0.006589905963230063
two_concepts,TwoLayerCNN,200,validation_patch,1,cf_accuracy,10,-0.0033203125,-0.006550324208622406,-9.030079137759342e-05
two_concepts,TwoLayerCNN,200,validation_patch,2,causal_usefulness,10,-0.043302347274336773,-0.06395066753902862,-0.022654027009644927
two_concepts,TwoLayerCNN,200,validation_patch,2,cf_accuracy,10,-0.011328125,-0.024661267886282548,0.0020050178862825487
two_concepts,TwoLayerCNN,200,validation_patch,4,causal_usefulness,10,-0.02057527677049471,-0.09539649089325594,0.054245937352266516
two_concepts,TwoLayerCNN,200,validation_patch,4,cf_accuracy,10,-0.05390625,-0.1221863615179004,0.014373861517900391
two_concepts,TwoLayerCNN,200,validation_patch,8,causal_usefulness,10,0.04290664805649873,0.01230460987292352,0.07350868624007394
two_concepts,TwoLayerCNN,200,validation_patch,8,cf_accuracy,10,0.03046875,0.007330030182991106,0.053607469817008896
