,,,early_acc,early_acc,first95,first95,id_acc,id_acc,alignment,alignment,semantic_auc,semantic_auc,localization_iou,localization_iou,causal_usefulness,causal_usefulness,cf_accuracy,cf_accuracy,refit_test_acc,refit_test_acc,late_ce_slope,late_ce_slope
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
task,architecture,condition,,,,,,,,,,,,,,,,,,,,
single_shape,TwoLayerCNN,template_release,0.875234375,0.03591399820302782,4.3,0.8232726023485646,0.999609375,0.001235264711003272,0.9424982976779276,0.00616326620720436,0.8456298828125,0.016342392922129124,0.5044842868970302,0.03894616369306946,0.06036630377963549,0.0647988324905094,0.07552083227783442,0.07152377231166115,0.999609375,0.001235264711003272,-3.115741753315282e-06,1.8790044955243515e-06
single_shape,TwoLayerCNN,template_retention_1,0.875234375,0.03591399820302782,4.3,0.8232726023485646,0.99921875,0.001647019614671035,0.9999343040066085,1.4359474960245759e-05,0.8737101236979166,0.0113258314023429,0.5660882957581375,0.04268362522317451,0.06698950028486408,0.06478666617570074,0.09960937630385161,0.1003350778592015,0.99921875,0.001647019614671035,-2.1028940721688646e-05,1.0419406982563257e-05
two_concepts,TinyCNN,random,0.6409765625,0.06877994386175282,23.2,4.077035960378841,0.992578125,0.008917132118887467,0.2320484511121891,0.034238051368366156,0.9883575439453125,0.009049766979626315,0.17999863552815001,0.029968222863487853,0.6320116882231861,0.06024095898297282,0.7390625,0.09590089047694413,0.99140625,0.009882117688026186,-8.364385925233394e-05,1.834319718304584e-05
two_concepts,TinyCNN,random_unitnorm,0.6121484374999999,0.07146325156559317,25.5,4.927248499698161,0.99296875,0.007084099223299705,0.2215343789749047,0.03142052144442599,0.985992431640625,0.009491451969263926,0.18822564510721487,0.030063184749682195,0.6074109660170279,0.06986945459307363,0.71796875,0.1020462903135311,0.992578125,0.008528397340527507,-8.282018930448135e-05,1.7165904110883083e-05
two_concepts,TinyCNN,template_init,0.5437109375,0.05893547630498975,23.4,5.966573556070519,0.99296875,0.005142817098471756,0.5073559515376131,0.0221398514612043,0.9869781494140625,0.004535670307635706,0.21400575243162656,0.03387454492271957,0.6291423046271609,0.06513024760844421,0.7794921875,0.10461107187601835,0.99375,0.004941058844013089,-0.00010900045864115917,4.0983406180935495e-05
two_concepts,TinyCNN,template_release,0.5237109375,0.056777418028871096,46.5,16.473885057535423,0.9921875,0.00688997737256404,0.5797102917579638,0.01056852704772443,0.9840530395507813,0.0060751933906728435,0.2352957633983145,0.04113270181629672,0.7177151729341779,0.07917832668462013,0.9064453125,0.06945397205692061,0.994140625,0.00742301709048917,-0.00017480483600743678,4.275958629062738e-05
two_concepts,TinyCNN,template_retention_1,0.5237109375,0.056777418028871096,66.8,40.06050978762558,0.980078125,0.009821886544607347,0.9467528822300618,0.004007197613110726,0.946392822265625,0.012401024388634111,0.34739701177897164,0.01724614274847251,0.6568845145976301,0.05642212429504306,0.9361328125,0.03603796438264262,0.989453125,0.00884075270664998,-0.0009439512840787223,8.464687073967359e-05
two_concepts,TwoLayerCNN,random,0.7112890625,0.0436508556987547,14.3,2.263232692902395,0.994921875,0.005224584022848665,0.25473329029919656,0.02727822194920729,0.8056854248046875,0.042115797300350255,0.22344861687860695,0.026883442854313242,0.06633535089116319,0.057799289332528,0.0814453125,0.06561033700688572,0.99609375,0.0036828478186799385,-6.254456186302208e-06,2.5578545868287056e-05
two_concepts,TwoLayerCNN,random_unitnorm,0.744140625,0.05274225121223046,13.9,2.183269719175042,0.99375,0.009058607880690654,0.2429906899438706,0.02770084905142725,0.7853729248046875,0.03321795335026521,0.21776353438973314,0.01344859669669929,0.06887604841449922,0.06482450306891188,0.084375,0.054685949878824504,0.99453125,0.007179192058380322,-1.0255044623788906e-05,3.372550496275839e-05
two_concepts,TwoLayerCNN,template_init,0.7272265625000001,0.06990939861920913,13.6,3.777124126457412,0.995703125,0.0042988474008383345,0.7464031816584329,0.017171325462092425,0.7846725463867188,0.03933145534180554,0.32561376314920537,0.015241606503565541,0.007161775132678691,0.04753153487877845,0.04453125,0.04285812780469547,0.995703125,0.0042988474008383345,-1.8102843069325195e-05,1.1924487844199084e-05
two_concepts,TwoLayerCNN,template_release,0.718984375,0.07350562000197675,15.3,5.417051268397268,0.9953125,0.0054625460842195285,0.9066660376007751,0.011816182071325565,0.7709930419921875,0.03609393709101222,0.363252421268158,0.017844399135617656,0.0028617823428902693,0.03960766327556859,0.040234375,0.03411855892865429,0.9953125,0.0054625460842195285,-5.739077022369557e-06,3.3217215539685774e-05
two_concepts,TwoLayerCNN,template_retention_1,0.718984375,0.07350562000197675,15.3,5.417051268397268,0.99140625,0.005764568651348608,0.9989495006362595,0.0004715143227722722,0.7759078979492188,0.009847678931231712,0.39077127376899873,0.013910638911901101,0.060661716464566015,0.05171509405908134,0.082421875,0.03846989728296406,0.992578125,0.004676636717726032,-6.351751303370282e-05,3.6067726274799766e-05
