task,architecture,block,condition,id_acc,test_ce,alignment,initial_alignment,semantic_auc,localization_iou,fidelity_selected,fidelity_random,cf_accuracy,cf_accuracy_random,nuisance_acc,nuisance_prediction_stability,nuisance_probability_l2,refit_test_acc,refit_val_acc,refit_converged,drift_l2,seconds,causal_usefulness,epoch,early_acc,first95,attained95,val_acc40,val_acc200,late_ce_slope
single_shape,TwoLayerCNN,2004,template_init,1.0,0.0002717008173931,0.8155797810298127,1.0,0.83392333984375,0.4846077475679724,0.0847825042691756,0.0599949808555148,0.0065104165114462,0.0100911458430346,1.0,1.0,2.3250172489497345e-06,1.0,1.0,True,1.3046070337295532,0.8574483394622803,0.0247875234136608,200,0.884765625,6.0,True,1.0,1.0,-3.1152470965151794e-06
single_shape,TwoLayerCNN,2004,template_release,1.0,0.000339129124768,0.9472067837762836,1.0,0.83905029296875,0.5271232629428646,0.1363618574936871,0.0688640536749566,0.0390625,0.0151367186772404,1.0,1.0,1.170928680949146e-05,1.0,1.0,True,0.4999627470970154,0.8865950107574463,0.0674978038187305,200,0.883984375,6.0,True,1.0,1.0,-3.3379515328384847e-06
single_shape,TwoLayerCNN,2004,template_retention_1,1.0,0.0019270870834589,0.999930717742544,1.0,0.8711954752604167,0.5978242586605994,0.1438249370264001,0.1198112824761227,0.020833333954215,0.0255533852759981,1.0,1.0,1.3290320566738956e-05,1.0,1.0,True,0.0148275829851627,0.8668537139892578,0.0240136545502773,200,0.883984375,6.0,True,1.0,1.0,-2.257385137106142e-05
single_shape,TwoLayerCNN,2005,random,1.0,0.0006519663147628,0.2617186806953906,0.1360020359735701,0.819580078125,0.2243724018110712,0.0544527618119948,0.063009933422672,0.0078125,0.0154622399713844,1.0,1.0,2.8150701837148517e-05,1.0,1.0,True,1.315863847732544,0.851353645324707,-0.0085571716106771,200,0.780859375,6.0,True,1.0,1.0,-1.1682772693412748e-06
single_shape,TwoLayerCNN,2005,random_unitnorm,1.0,0.000539336935617,0.2353225885666059,0.1360020357066717,0.8177286783854167,0.2763678848458852,0.0646438909213528,0.0587793545654513,0.0234375,0.0083007811335846,1.0,1.0,0.0003954418934881,1.0,1.0,True,1.314131259918213,0.8529415130615234,0.0058645363559014,200,0.8421875,6.0,True,1.0,1.0,-1.5026254927790943e-06
single_shape,TwoLayerCNN,2005,template_init,1.0,0.0009354736539535,0.7925846948894545,1.0,0.82696533203125,0.4830097652963526,0.1554416837665544,0.0830671060457523,0.0520833320915699,0.0180664061772404,1.0,1.0,4.100246223970317e-05,1.0,1.0,True,1.4360437393188477,0.8800575733184814,0.0723745777208021,200,0.851171875,4.0,True,1.0,1.0,-1.7061771906363866e-06
single_shape,TwoLayerCNN,2005,template_release,1.0,0.0008891187026165,0.9376132967430396,1.0,0.8540649414062501,0.5223412722789695,0.0888712268500374,0.086008307796128,0.0182291660457849,0.0208333332993788,1.0,1.0,4.5994042011443526e-05,1.0,1.0,True,0.5474730134010315,0.893639087677002,0.0028629190539094,200,0.85,4.0,True,1.0,1.0,-1.7343658697439779e-06
single_shape,TwoLayerCNN,2005,template_retention_1,1.0,0.0039218482561409,0.9999294708360892,1.0,0.8536580403645834,0.6072469440219936,0.1355374418329198,0.1413380803748115,0.0559895820915699,0.0346679687791038,1.0,1.0,0.0002652317634783,1.0,1.0,True,0.0149293020367622,0.9447193145751952,-0.0058006385418917,200,0.85,4.0,True,1.0,1.0,-2.0250837980326677e-05
single_shape,TwoLayerCNN,2006,random,1.0,0.0001885121891973,0.2240272945874109,0.1159483754332657,0.8065388997395834,0.311283865637105,0.0506157346304085,0.0513924050079341,0.0234375,0.0068359375436557,1.0,1.0,7.100130119397363e-07,1.0,1.0,True,1.282404899597168,0.846163272857666,-0.0007766703775256,200,0.7875,8.0,True,1.0,1.0,-1.9871722556715714e-06
single_shape,TwoLayerCNN,2006,random_unitnorm,1.0,0.0002151264634449,0.1766879608176529,0.1159483757059272,0.820068359375,0.2347593310585901,0.0646882554740032,0.0523166120031037,0.020833333954215,0.0058593749708961,1.0,1.0,3.8089021359155595e-07,1.0,1.0,True,1.2825324535369873,0.8549060821533203,0.0123716434708994,200,0.847265625,7.0,True,1.0,1.0,-1.429100124834507e-06
single_shape,TwoLayerCNN,2006,template_init,1.0,0.0001714744284981,0.8074676008437129,1.0,0.86383056640625,0.4776364497429456,0.1645901133092648,0.0973598713096927,0.078125,0.0275065105815883,1.0,1.0,4.789585091202753e-06,1.0,1.0,True,1.2893297672271729,0.909942388534546,0.0672302419995721,200,0.866015625,4.0,True,1.0,1.0,-1.5399623482786405e-06
single_shape,TwoLayerCNN,2006,template_release,1.0,0.0001810885587474,0.9470038515527164,1.0,0.8664143880208334,0.4773208620699569,0.1454746950230956,0.1242355699605004,0.0872395858168602,0.0538736972957849,1.0,1.0,1.0584993788143038e-06,1.0,1.0,True,0.4907627701759338,0.8351309299468994,0.0212391250625951,200,0.8640625,4.0,True,1.0,1.0,2.395728413926316e-07
single_shape,TwoLayerCNN,2006,template_retention_1,1.0,0.001764795044437,0.9999411687213644,1.0,0.88134765625,0.5417709199787337,0.3017687784400845,0.1622996958140539,0.2174479216337204,0.0502929692156612,1.0,1.0,4.652053758036345e-05,1.0,1.0,True,0.0136636663228273,0.8414344787597656,0.1394690826260306,200,0.8640625,4.0,True,1.0,1.0,-7.3904316886367835e-06
single_shape,TwoLayerCNN,2007,random,1.0,0.0006430195644497,0.2883041810231824,0.1438527141101103,0.8210449218749999,0.3847050748957183,0.0656207594402233,0.0832894002782738,0.0065104165114462,0.0143229167442768,1.0,1.0,2.0994986698497087e-05,1.0,1.0,True,1.3428131341934204,0.8822553157806396,-0.0176686408380504,200,0.774609375,6.0,True,1.0,1.0,-1.8704312116499935e-06
single_shape,TwoLayerCNN,2007,random_unitnorm,1.0,0.0004813967098016,0.2418819096161507,0.1438527143585717,0.8720906575520834,0.3795777704975602,0.0708571149385189,0.0692162876251199,0.0091145830228924,0.0118815102759981,1.0,1.0,1.436774527974194e-05,1.0,1.0,True,1.3715324401855469,0.8587071895599365,0.001640827313399,200,0.763671875,5.0,True,1.0,1.0,-3.001042177791336e-06
single_shape,TwoLayerCNN,2007,template_init,1.0,0.0019541468936949,0.8090886679461529,1.0,0.8466389973958334,0.4975264126264727,0.2388792910145543,0.0813379518836615,0.17578125,0.0218098960031056,0.99609375,0.99609375,0.0039360970258712,1.0,1.0,True,1.3185582160949707,0.8565893173217773,0.1575413391308927,200,0.815625,5.0,True,1.0,1.0,-1.454651603017891e-06
single_shape,TwoLayerCNN,2007,template_release,1.0,0.0014853477478027,0.9412911585449828,1.0,0.8435262044270833,0.5395796952513395,0.274736088724353,0.0798763182608097,0.2161458283662796,0.020833333604969,0.99609375,0.99609375,0.0046048308722674,1.0,1.0,True,0.4977938234806061,0.8326656818389893,0.1948597704635432,200,0.815234375,5.0,True,1.0,1.0,-2.183534355512095e-06
single_shape,TwoLayerCNN,2007,template_retention_1,0.99609375,0.0052424469031393,0.9999344635222956,1.0,0.8761800130208333,0.5949226684986745,0.2172704874081509,0.1163488429556011,0.0716145858168602,0.0218098952755099,0.99609375,1.0,0.0016306452453136,0.99609375,1.0,True,0.0127505455166101,0.8327350616455078,0.1009216444525498,200,0.815234375,5.0,True,1.0,1.0,-1.8395602710097094e-05
single_shape,TwoLayerCNN,2008,random,1.0,0.0003651402366813,0.3276245373221131,0.1656030083919694,0.8355305989583334,0.3314106764936595,0.0712011163673956,0.0599548599720048,0.0143229169771075,0.0073242188082076,1.0,1.0,9.098363307202816e-07,1.0,1.0,True,1.3070515394210815,0.8770525455474854,0.0112462563953908,200,0.85,5.0,True,1.0,1.0,-1.8579632291551076e-06
single_shape,TwoLayerCNN,2008,random_unitnorm,1.0,0.0003741023829206,0.2789495803358945,0.1656030076863899,0.8386840820312499,0.3282834904504411,0.1288734297438578,0.0559397150355662,0.0690104141831398,0.0055338542442768,1.0,1.0,8.698149827068846e-07,1.0,1.0,True,1.2664650678634644,0.908097505569458,0.0729337147082916,200,0.883984375,5.0,True,1.0,1.0,-2.4389822860556282e-06
single_shape,TwoLayerCNN,2008,template_init,1.0,0.0004356810241006,0.7971560481094495,1.0,0.8257649739583334,0.4659739455520822,0.0289288356102094,0.06187706682989,0.0013020833721384,0.0039062500727595,1.0,1.0,9.564739684719823e-07,1.0,1.0,True,1.356705904006958,0.8671817779541016,-0.0329482312196806,200,0.9171875,4.0,True,1.0,1.0,-3.4113401456035983e-06
single_shape,TwoLayerCNN,2008,template_release,1.0,0.0005733270081691,0.933658704110973,1.0,0.8307088216145834,0.48686237645058,0.0544475549009907,0.0539075627710506,0.0078125,0.0053710937936557,1.0,1.0,8.002299182408024e-06,1.0,1.0,True,0.5706892609596252,0.8337104320526123,0.00053999212994,200,0.91796875,4.0,True,1.0,1.0,-4.419961728021045e-06
single_shape,TwoLayerCNN,2008,template_retention_1,1.0,0.0033714501187205,0.9999322710305136,1.0,0.8790079752604167,0.5253432508424722,0.1393309614473687,0.1021040202104561,0.0078125,0.0138346354942768,1.0,1.0,0.0001780108868842,1.0,1.0,True,0.0143916122615337,0.8520426750183105,0.0372269412369126,200,0.91796875,4.0,True,1.0,1.0,-3.2130746464980545e-05
single_shape,TwoLayerCNN,2009,random,1.0,0.0003690614248625,0.3087667754317,0.1728766466647249,0.8110555013020834,0.2977986304268798,0.0890509388104081,0.0852656631677237,0.0078125,0.0201822920935228,1.0,1.0,2.871253309422173e-05,1.0,1.0,True,1.354088306427002,0.8642618656158447,0.0037852756426844,200,0.776953125,6.0,True,1.0,1.0,-5.436086715583063e-06
single_shape,TwoLayerCNN,2009,random_unitnorm,1.0,0.0009274877957068,0.2602481724718946,0.1728766467441166,0.8369344075520834,0.3449531100374124,0.0346743794119847,0.0824721395182167,0.0,0.0159505204501329,1.0,1.0,1.4860506780678406e-05,1.0,1.0,True,1.2485764026641846,0.8403403759002686,-0.047797760106232,200,0.835546875,6.0,True,1.0,1.0,-5.2325919014944155e-06
single_shape,TwoLayerCNN,2009,template_init,1.0,0.0003921904135495,0.7742996852892106,1.0,0.8498738606770834,0.4936783186826939,0.2239547135899962,0.0804079243898465,0.1640625,0.0175781247089616,1.0,1.0,5.264138053462375e-06,1.0,1.0,True,1.3114012479782104,0.8455216884613037,0.1435467892001496,200,0.8359375,4.0,True,1.0,1.0,-5.523616026149074e-06
single_shape,TwoLayerCNN,2009,template_release,1.0,0.0002136218245141,0.9458196983635316,1.0,0.8721516927083333,0.5788315450256879,0.2089683728095714,0.1089612698777723,0.1458333283662796,0.029947916031233,1.0,1.0,2.5747885956661776e-06,1.0,1.0,True,0.4863864183425903,0.8694014549255371,0.1000071029317991,200,0.83125,4.0,True,1.0,1.0,-5.277593163213588e-06
single_shape,TwoLayerCNN,2009,template_retention_1,1.0,0.002158100483939,0.999961364638688,1.0,0.8862101236979166,0.630999284601538,0.3705861064146603,0.1785249798268811,0.3098958432674408,0.0418294268165482,1.0,1.0,3.755997386178933e-05,1.0,1.0,True,0.0114582208916544,0.8231725692749023,0.1920611265877791,200,0.83125,4.0,True,1.0,1.0,-3.2818362403912696e-05
two_concepts,TinyCNN,2000,random,0.99609375,0.0194121152162551,0.2463164182007967,0.1429484701178655,0.995849609375,0.1923571081217843,0.9471688332174076,0.27184961776651,0.919921875,0.172607421875,0.9921875,0.99609375,0.0020386846736073,0.99609375,0.9921875,True,2.9488742351531982,0.3900721073150635,0.6753192154508975,200,0.6296875,26.0,True,0.98046875,0.98828125,-4.808236949874103e-05
two_concepts,TinyCNN,2000,random_unitnorm,0.9921875,0.0222075153142213,0.2191597790157842,0.1429484705356811,0.99078369140625,0.1920623153303708,0.9677171360843524,0.2825030506068626,0.953125,0.177734375,0.9921875,0.984375,0.0073598809540271,0.99609375,0.98828125,True,3.0031700134277344,0.3411853313446045,0.6852140854774897,200,0.55859375,31.0,True,0.9765625,0.98828125,-7.250173143426244e-05
two_concepts,TinyCNN,2000,template_init,0.9921875,0.02182612195611,0.5162455459008264,1.0,0.9902801513671876,0.2019951052990284,0.912532286940627,0.3024499961338628,0.865234375,0.20361328125,1.0,0.9921875,0.0037642163224518,0.9921875,0.98828125,True,3.2763071060180664,0.3869304656982422,0.6100822908067642,200,0.463671875,28.0,True,0.96875,0.98828125,-9.70830650706035e-05
two_concepts,TinyCNN,2000,template_release,0.99609375,0.0244078710675239,0.5727160085283334,1.0,0.9875946044921876,0.2452189240121067,0.8620082422552777,0.3144924336516738,0.798828125,0.207275390625,0.9921875,0.99609375,0.0029703381005674,1.0,0.984375,True,2.493743419647217,0.3650789260864258,0.5475158086036038,200,0.473828125,61.0,True,0.92578125,0.98828125,-0.00016366175018754937
two_concepts,TinyCNN,2000,template_retention_1,0.97265625,0.251979112625122,0.9445566284576636,1.0,0.95751953125,0.333512044033722,0.9602629627666148,0.3977039103048955,0.919921875,0.23876953125,0.96875,0.96875,0.0106382938101887,0.98828125,0.98046875,True,0.3421902060508728,0.399660587310791,0.5625590524617194,200,0.473828125,83.0,True,0.91015625,0.96875,-0.0009043453107202848
two_concepts,TinyCNN,2001,random,1.0,0.0073233135044574,0.3105980414314352,0.1702153781277785,0.98834228515625,0.1762196025386347,0.8073092815272714,0.1613393344596296,0.7109375,0.07080078125,1.0,1.0,0.0005922550917603,1.0,1.0,True,2.9396824836730957,0.417327880859375,0.6459699470676418,200,0.63828125,17.0,True,0.98828125,1.0,-8.391852497606437e-05
two_concepts,TinyCNN,2001,random_unitnorm,1.0,0.0093510216102004,0.286623035037002,0.1702153787894713,0.9794921875,0.1853921851344531,0.8202321086674673,0.1724535413468569,0.73046875,0.072021484375,1.0,1.0,0.001197496894747,1.0,0.9921875,True,2.967940330505371,0.3641316890716553,0.6477785673206103,200,0.558984375,28.0,True,0.98046875,0.98828125,-0.00010430834403163478
