task,architecture,block,condition,epoch,nearest_cosine,assignment_cosine,matching_gap,nearest_template_count,nearest_distance,assignment_distance,redundancy_cosine,mean_raw_norm,initial_index_cosine,raw_initial_drift,id_acc,semantic_auc,localization_iou,causal_usefulness,cf_accuracy,fidelity_selected,fidelity_random
two_concepts,TinyCNN,2003,template_retention_1,1,0.9989926330579735,0.9989926330579735,0.0,16,0.04289641450300148,0.04289641450300148,0.8490510471502827,0.9964911,0.9989926330579735,0.0677898,0.203125,0.776214599609375,0.3898837310120683,0.6691365277314035,0.2109375,0.8402538536955343,0.17111732596413076
two_concepts,TinyCNN,2003,template_retention_1,5,0.9880070558690812,0.9880070558690812,0.0,16,0.14907379081697122,0.14907379081697122,0.8382256091050062,1.0036559,0.9880070558690812,0.15513146,0.61328125,0.8216705322265625,0.3777144044313289,0.5741872347653858,0.484375,0.8880735243641383,0.3138862895987526
two_concepts,TinyCNN,2003,template_retention_1,10,0.9793617980087994,0.9793617980087994,0.0,16,0.1912228484708358,0.1912228484708358,0.822569245327009,1.0370767,0.9793617980087994,0.20654681,0.734375,0.8403167724609375,0.3824664397190327,0.5809529608542198,0.51171875,0.9222129597118051,0.3412599988575853
two_concepts,TinyCNN,2003,template_retention_1,20,0.9673601953861386,0.9673601953861386,0.0,16,0.23949939808636528,0.23949939808636528,0.8096007334239137,1.078151,0.9673601953861386,0.27203533,0.765625,0.878265380859375,0.3704294563563162,0.6028923069091352,0.6953125,0.9534311667700194,0.35053885986088423
two_concepts,TinyCNN,2003,template_retention_1,40,0.9512542832856672,0.9512542832856672,0.0,16,0.2953917728203874,0.2953917728203874,0.7896927605716675,1.1111379,0.9512542832856672,0.3420676,0.91796875,0.9199676513671875,0.34561628846197834,0.6085557188718075,0.8046875,0.939377149660113,0.3308214307883055
two_concepts,TinyCNN,2003,template_retention_1,80,0.9403793580382134,0.9403793580382134,0.0,16,0.32412144154513717,0.32412144154513717,0.7781549479758221,1.124604,0.9403793580382134,0.37816626,0.9921875,0.9401092529296875,0.3490161353160638,0.668027849331676,0.921875,0.9358641252069791,0.2678362758753032
two_concepts,TinyCNN,2003,template_retention_1,120,0.9427353541160599,0.9427353541160599,0.0,16,0.3156323705927678,0.3156323705927678,0.78186848521115,1.1155062,0.9427353541160599,0.3656218,0.9921875,0.9393157958984375,0.35708819678430814,0.7112782528273893,0.943359375,0.9460635690518593,0.23478531622447002
two_concepts,TinyCNN,2003,template_retention_1,160,0.9456178542973057,0.9456178542973057,0.0,16,0.3075332747197239,0.3075332747197239,0.7854018698657533,1.1047848,0.9456178542973057,0.35184023,0.9921875,0.9352264404296875,0.36341230876683084,0.7402856159316229,0.95703125,0.956708076974452,0.21642246104282908
two_concepts,TinyCNN,2003,template_retention_1,200,0.9483835883548857,0.9483835883548857,0.0,16,0.29908533887276656,0.29908533887276656,0.7892686797767228,1.0958254,0.9483835883548857,0.3388393,0.99609375,0.9340972900390625,0.368026778003865,0.7550395140098527,0.953125,0.9593759063782363,0.20433639236838366
two_concepts,TinyCNN,2003,template_release,0,1.0,1.0,0.0,16,1.3170890159654386e-09,1.3170890159654386e-09,0.8481368160118523,1.0,1.0,0.0,,,,,,,
