task,architecture,block,condition,epoch,channel,nearest_template,assigned_template,nearest_cosine,assigned_cosine
single_shape,TinyCNN,2007,random,10,12,13,13,0.3724973847359708,0.3724973847359708
single_shape,TinyCNN,2007,random,10,13,15,15,0.2254991605645876,0.2254991605645876
single_shape,TinyCNN,2007,random,10,14,11,11,0.2999419554974558,0.2999419554974558
single_shape,TinyCNN,2007,random,10,15,15,14,0.2514871662177841,0.2329659073795461
single_shape,TinyCNN,2007,random,20,0,15,4,0.33760314537286557,0.2863397674813197
single_shape,TinyCNN,2007,random,20,1,15,10,0.35075842902076443,0.1546286478702771
single_shape,TinyCNN,2007,random,20,2,12,12,0.06470061781387268,0.06470061781387268
single_shape,TinyCNN,2007,random,20,3,5,9,0.2658222777127743,0.20665247752644683
single_shape,TinyCNN,2007,random,20,4,7,5,0.25294089738004666,0.14514978342636015
single_shape,TinyCNN,2007,random,20,5,0,1,0.01107844380075761,-0.023771628354696196
single_shape,TinyCNN,2007,random,20,6,15,0,0.23147403572958405,0.043595538382176204
single_shape,TinyCNN,2007,random,20,7,15,14,0.2445592125140525,0.17064726003299405
single_shape,TinyCNN,2007,random,20,8,14,2,0.37113003607498773,0.21666787183467176
single_shape,TinyCNN,2007,random,20,9,7,7,0.33897608222409675,0.33897608222409675
single_shape,TinyCNN,2007,random,20,10,7,6,0.16481786032350657,0.07079013048177686
single_shape,TinyCNN,2007,random,20,11,3,3,0.4035577006125835,0.4035577006125835
single_shape,TinyCNN,2007,random,20,12,13,8,0.3391173120848116,0.3312200293546359
single_shape,TinyCNN,2007,random,20,13,15,15,0.2837549493674208,0.2837549493674208
single_shape,TinyCNN,2007,random,20,14,11,11,0.2963066736403542,0.2963066736403542
single_shape,TinyCNN,2007,random,20,15,7,13,0.29366581501446193,0.16634045609569606
single_shape,TinyCNN,2007,random,40,0,15,3,0.356524903849009,0.3186019064728719
single_shape,TinyCNN,2007,random,40,1,15,11,0.3753252796055964,0.19444776673790942
single_shape,TinyCNN,2007,random,40,2,12,12,0.08317626845933478,0.08317626845933478
single_shape,TinyCNN,2007,random,40,3,5,4,0.2700211356022921,0.25336255107685085
single_shape,TinyCNN,2007,random,40,4,7,5,0.2775119108903049,0.15264206844536476
single_shape,TinyCNN,2007,random,40,5,0,1,-0.009668227825414339,-0.027533067561319496
single_shape,TinyCNN,2007,random,40,6,15,0,0.23064906659901024,0.05120887118483408
single_shape,TinyCNN,2007,random,40,7,15,14,0.28762553194764634,0.21576572273232747
single_shape,TinyCNN,2007,random,40,8,14,13,0.45261167739660046,0.36414782123636
single_shape,TinyCNN,2007,random,40,9,7,7,0.3609764523791322,0.3609764523791322
single_shape,TinyCNN,2007,random,40,10,7,6,0.14340991756084384,0.06260148546669875
single_shape,TinyCNN,2007,random,40,11,3,2,0.38833091179962737,0.3642504844930436
single_shape,TinyCNN,2007,random,40,12,8,8,0.3148932615323162,0.3148932615323162
single_shape,TinyCNN,2007,random,40,13,15,15,0.32381106382149877,0.32381106382149877
single_shape,TinyCNN,2007,random,40,14,11,9,0.28580100511382217,0.16401631157745022
single_shape,TinyCNN,2007,random,40,15,7,10,0.30265006616734835,0.17772698354590125
single_shape,TinyCNN,2007,random,80,0,15,3,0.3650731303409007,0.33317194639377873
single_shape,TinyCNN,2007,random,80,1,15,11,0.3697611477284698,0.1989743275573091
single_shape,TinyCNN,2007,random,80,2,12,12,0.10497330598810421,0.10497330598810421
single_shape,TinyCNN,2007,random,80,3,5,4,0.2583500315696488,0.24768203208205689
single_shape,TinyCNN,2007,random,80,4,7,6,0.30735992550010827,0.2614156141075418
single_shape,TinyCNN,2007,random,80,5,7,1,0.003394842072841546,-0.02722523359727285
single_shape,TinyCNN,2007,random,80,6,15,0,0.22163919774701948,0.05271818027445658
single_shape,TinyCNN,2007,random,80,7,15,14,0.3028370774333076,0.2391527027925614
single_shape,TinyCNN,2007,random,80,8,14,13,0.4746747008013905,0.39744019221947074
single_shape,TinyCNN,2007,random,80,9,7,7,0.36942510682619034,0.36942510682619034
single_shape,TinyCNN,2007,random,80,10,15,5,0.14186503628725392,-0.024688358138162326
single_shape,TinyCNN,2007,random,80,11,3,2,0.3683583587578463,0.33515021190421984
single_shape,TinyCNN,2007,random,80,12,8,8,0.2979943888099465,0.2979943888099465
single_shape,TinyCNN,2007,random,80,13,15,15,0.3266253522635883,0.3266253522635883
single_shape,TinyCNN,2007,random,80,14,11,9,0.28462422359374406,0.1752889775351535
single_shape,TinyCNN,2007,random,80,15,7,10,0.29733293058199695,0.19009509177613862
single_shape,TinyCNN,2007,random,120,0,15,4,0.36694385467789253,0.35463089124314917
single_shape,TinyCNN,2007,random,120,1,15,15,0.36494999298105,0.36494999298105
single_shape,TinyCNN,2007,random,120,2,10,12,0.12525557151683983,0.11110127649297045
single_shape,TinyCNN,2007,random,120,3,5,9,0.2485361035064147,0.20658418672752316
single_shape,TinyCNN,2007,random,120,4,7,6,0.3209371668200111,0.27611244266286333
single_shape,TinyCNN,2007,random,120,5,7,2,0.0021237703889760897,-0.0319178721574288
single_shape,TinyCNN,2007,random,120,6,15,1,0.21480479718652606,-0.0011572261190948016
single_shape,TinyCNN,2007,random,120,7,15,14,0.30800832283697116,0.2485005949197568
single_shape,TinyCNN,2007,random,120,8,14,13,0.47946449388550094,0.4068363709251245
single_shape,TinyCNN,2007,random,120,9,7,7,0.37377078166206895,0.37377078166206895
single_shape,TinyCNN,2007,random,120,10,15,5,0.14805408996532687,-0.021991660866164296
single_shape,TinyCNN,2007,random,120,11,3,3,0.35980814256261434,0.35980814256261434
single_shape,TinyCNN,2007,random,120,12,8,8,0.29024877041078206,0.29024877041078206
single_shape,TinyCNN,2007,random,120,13,15,0,0.32267804402278694,0.10978908504459381
single_shape,TinyCNN,2007,random,120,14,11,11,0.28247728586817594,0.28247728586817594
single_shape,TinyCNN,2007,random,120,15,7,10,0.29491464761297115,0.19617622096868872
single_shape,TinyCNN,2007,random,160,0,15,4,0.3675714579358486,0.35822087187287244
single_shape,TinyCNN,2007,random,160,1,15,15,0.36453428197326526,0.36453428197326526
single_shape,TinyCNN,2007,random,160,2,10,12,0.1390467222722322,0.1178595147387645
single_shape,TinyCNN,2007,random,160,3,5,9,0.24794242914176823,0.2059676158177661
single_shape,TinyCNN,2007,random,160,4,7,6,0.3292447537754824,0.2857991586152905
single_shape,TinyCNN,2007,random,160,5,7,2,0.0006886046224813702,-0.029630922191405305
single_shape,TinyCNN,2007,random,160,6,15,1,0.21000979608402873,-0.0017493248850201054
single_shape,TinyCNN,2007,random,160,7,15,14,0.31038013603663805,0.25339345927185747
single_shape,TinyCNN,2007,random,160,8,14,13,0.4818724769509722,0.41149503463335213
single_shape,TinyCNN,2007,random,160,9,7,7,0.37734792124342315,0.37734792124342315
single_shape,TinyCNN,2007,random,160,10,15,5,0.15027825127817318,-0.02045381324380138
