task,architecture,condition,metric,target,n,spearman
single_shape,TwoLayerCNN,template_release,nearest_cosine,causal_usefulness,10,0.5757575757575757
single_shape,TwoLayerCNN,template_release,nearest_cosine,cf_accuracy,10,0.5531940447488588
single_shape,TwoLayerCNN,template_release,assignment_cosine,id_acc,10,0.4061811972299616
single_shape,TwoLayerCNN,template_release,assignment_cosine,semantic_auc,10,0.006060606060606061
single_shape,TwoLayerCNN,template_release,assignment_cosine,localization_iou,10,0.07878787878787878
single_shape,TwoLayerCNN,template_release,assignment_cosine,causal_usefulness,10,0.5757575757575757
single_shape,TwoLayerCNN,template_release,assignment_cosine,cf_accuracy,10,0.5531940447488588
single_shape,TwoLayerCNN,template_release,matching_gap,id_acc,10,
single_shape,TwoLayerCNN,template_release,matching_gap,semantic_auc,10,
single_shape,TwoLayerCNN,template_release,matching_gap,localization_iou,10,
single_shape,TwoLayerCNN,template_release,matching_gap,causal_usefulness,10,
single_shape,TwoLayerCNN,template_release,matching_gap,cf_accuracy,10,
single_shape,TwoLayerCNN,template_retention_1,nearest_cosine,id_acc,10,0.26111648393354675
single_shape,TwoLayerCNN,template_retention_1,nearest_cosine,semantic_auc,10,0.23636363636363633
single_shape,TwoLayerCNN,template_retention_1,nearest_cosine,localization_iou,10,0.05454545454545454
single_shape,TwoLayerCNN,template_retention_1,nearest_cosine,causal_usefulness,10,0.49090909090909085
single_shape,TwoLayerCNN,template_retention_1,nearest_cosine,cf_accuracy,10,0.43030303030303024
single_shape,TwoLayerCNN,template_retention_1,assignment_cosine,id_acc,10,0.26111648393354675
single_shape,TwoLayerCNN,template_retention_1,assignment_cosine,semantic_auc,10,0.23636363636363633
single_shape,TwoLayerCNN,template_retention_1,assignment_cosine,localization_iou,10,0.05454545454545454
single_shape,TwoLayerCNN,template_retention_1,assignment_cosine,causal_usefulness,10,0.49090909090909085
single_shape,TwoLayerCNN,template_retention_1,assignment_cosine,cf_accuracy,10,0.43030303030303024
single_shape,TwoLayerCNN,template_retention_1,matching_gap,id_acc,10,
single_shape,TwoLayerCNN,template_retention_1,matching_gap,semantic_auc,10,
single_shape,TwoLayerCNN,template_retention_1,matching_gap,localization_iou,10,
single_shape,TwoLayerCNN,template_retention_1,matching_gap,causal_usefulness,10,
single_shape,TwoLayerCNN,template_retention_1,matching_gap,cf_accuracy,10,
two_concepts,TinyCNN,random,nearest_cosine,id_acc,10,-0.269752900470193
two_concepts,TinyCNN,random,nearest_cosine,semantic_auc,10,-0.11515151515151514
two_concepts,TinyCNN,random,nearest_cosine,localization_iou,10,0.5393939393939393
two_concepts,TinyCNN,random,nearest_cosine,causal_usefulness,10,0.23636363636363633
two_concepts,TinyCNN,random,nearest_cosine,cf_accuracy,10,0.04242424242424241
two_concepts,TinyCNN,random,assignment_cosine,id_acc,10,-0.44540595193915583
two_concepts,TinyCNN,random,assignment_cosine,semantic_auc,10,-0.16363636363636364
two_concepts,TinyCNN,random,assignment_cosine,localization_iou,10,0.5757575757575757
two_concepts,TinyCNN,random,assignment_cosine,causal_usefulness,10,0.4787878787878787
two_concepts,TinyCNN,random,assignment_cosine,cf_accuracy,10,0.32121212121212117
two_concepts,TinyCNN,random,matching_gap,id_acc,10,0.5081391846066426
two_concepts,TinyCNN,random,matching_gap,semantic_auc,10,0.11515151515151514
two_concepts,TinyCNN,random,matching_gap,localization_iou,10,-0.17575757575757575
two_concepts,TinyCNN,random,matching_gap,causal_usefulness,10,-0.4787878787878787
two_concepts,TinyCNN,random,matching_gap,cf_accuracy,10,-0.5151515151515151
